Absolute Time,Time Elapsed,Temperature,Vref,Average Output

04/01/2018 at 12:13:31,0.0,45.33448254378463,-1.2463343108504397,327.5144
04/01/2018 at 12:13:33,2.0,45.33448254378463,-1.2463343108504397,327.05472
04/01/2018 at 12:13:36,5.0,45.33448254378463,-1.2463343108504397,326.8694
04/01/2018 at 12:13:39,8.0,45.33448254378463,-1.2463343108504397,326.72348
04/01/2018 at 12:13:41,10.0,45.33448254378463,-1.2463343108504397,326.6111
04/01/2018 at 12:13:44,13.0,45.33448254378463,-1.2463343108504397,326.48346
04/01/2018 at 12:13:53,22.0,45.05365836069632,-1.2463343108504397,379.3363
04/01/2018 at 12:13:56,25.0,45.263940402774665,-1.2463343108504397,379.12003
04/01/2018 at 12:13:59,28.0,45.263940402774665,-1.2463343108504397,379.04285
04/01/2018 at 12:14:08,37.0,45.05365836069632,-1.2463343108504397,326.27267
04/01/2018 at 12:14:11,40.0,45.263940402774665,-1.2463343108504397,325.62384
04/01/2018 at 12:14:14,43.0,45.263940402774665,-1.2463343108504397,325.40076
04/01/2018 at 12:14:16,45.0,44.914576509727496,-1.2463343108504397,326.9665
04/01/2018 at 12:14:20,49.0,44.366861372166674,-1.2463343108504397,331.123
04/01/2018 at 12:14:23,52.0,43.96482469254531,-1.2463343108504397,333.54285
04/01/2018 at 12:14:26,55.0,43.76652290327532,-1.2463343108504397,334.9029
04/01/2018 at 12:14:28,57.0,43.56998905838621,-1.2463343108504397,334.77948
04/01/2018 at 12:14:31,60.0,43.37519191229562,-1.2463343108504397,334.6319
04/01/2018 at 12:14:34,63.0,43.24627692353202,-1.2463343108504397,334.93936
04/01/2018 at 12:14:37,66.0,43.1181114447519,-1.2463343108504397,335.6306
04/01/2018 at 12:14:40,69.0,42.99068681102715,-1.2463343108504397,336.72858
04/01/2018 at 12:14:43,72.0,42.86399450682665,-1.2463343108504397,338.28796
04/01/2018 at 12:14:46,75.0,42.67531089909399,-1.2463343108504397,339.90204
04/01/2018 at 12:14:49,78.0,42.55041311312135,-1.2463343108504397,341.1883
04/01/2018 at 12:14:52,81.0,42.48822858597814,-1.2463343108504397,342.27567
04/01/2018 at 12:14:54,83.0,42.364383314997916,-1.2463343108504397,343.19763
04/01/2018 at 12:14:57,86.0,42.24122992064895,-1.2463343108504397,344.05472
04/01/2018 at 12:15:00,89.0,42.179910269832604,-1.2463343108504397,344.87744
04/01/2018 at 12:15:03,92.0,42.11876071535347,-1.2463343108504397,345.70865
04/01/2018 at 12:15:06,95.0,41.99696813895343,-1.2463343108504397,346.56744
04/01/2018 at 12:15:09,98.0,41.93632325819038,-1.2463343108504397,347.44614
04/01/2018 at 12:15:12,101.0,41.87584475591002,-1.2463343108504397,348.23282
04/01/2018 at 12:15:14,104.0,41.815531721694896,-1.2463343108504397,348.9788
04/01/2018 at 12:15:17,106.0,41.75538325257977,-1.2463343108504397,349.66498
04/01/2018 at 12:15:20,109.0,41.695398452970615,-1.2463343108504397,350.35666
04/01/2018 at 12:15:23,112.0,41.63557643456453,-1.2463343108504397,351.06277
04/01/2018 at 12:15:26,115.0,41.57591631627085,-1.2463343108504397,351.79092
04/01/2018 at 12:15:29,118.0,41.57591631627085,-1.2463343108504397,352.48685
04/01/2018 at 12:15:31,121.0,41.51641722413324,-1.2463343108504397,353.16794
04/01/2018 at 12:15:34,123.0,41.51641722413324,-1.2463343108504397,353.8872
04/01/2018 at 12:15:37,126.0,41.45707829125295,-1.2463343108504397,354.53137
04/01/2018 at 12:15:40,129.0,41.45707829125295,-1.2463343108504397,355.13614
04/01/2018 at 12:15:43,132.0,41.397898657712915,-1.2463343108504397,355.74088
04/01/2018 at 12:15:46,135.0,41.397898657712915,-1.2463343108504397,356.41815
04/01/2018 at 12:15:48,137.0,41.33887747050311,-1.2463343108504397,357.03137
04/01/2018 at 12:15:51,140.0,41.33887747050311,-1.2463343108504397,357.63104
04/01/2018 at 12:15:54,143.0,41.33887747050311,-1.2463343108504397,358.24387
04/01/2018 at 12:15:57,146.0,41.28001388344668,-1.2463343108504397,358.8537
04/01/2018 at 12:16:00,149.0,41.28001388344668,-1.2463343108504397,359.4491
04/01/2018 at 12:16:02,151.0,41.28001388344668,-1.2463343108504397,360.09796
04/01/2018 at 12:16:05,154.0,41.28001388344668,-1.2463343108504397,360.70483
04/01/2018 at 12:16:08,157.0,41.22130705712722,-1.2463343108504397,361.28796
04/01/2018 at 12:16:11,160.0,41.22130705712722,-1.2463343108504397,361.8821
04/01/2018 at 12:16:14,163.0,41.22130705712722,-1.2463343108504397,362.47202
04/01/2018 at 12:16:16,165.0,41.22130705712722,-1.2463343108504397,363.03223
