Absolute Time,Time Elapsed,Temperature,Vref,Average Output

21/03/2021 at 15:39:41,0.0,41.51641722413324,-2.380254154447703,436.9573
21/03/2021 at 15:39:44,3.0,41.93632325819038,-2.380254154447703,437.0163
21/03/2021 at 15:39:47,6.0,41.93632325819038,-2.380254154447703,437.1975
21/03/2021 at 15:39:50,8.0,41.93632325819038,-2.380254154447703,437.02484
21/03/2021 at 15:39:52,11.0,41.93632325819038,-2.380254154447703,436.8634
21/03/2021 at 15:39:55,14.0,41.93632325819038,-2.380254154447703,436.78967
21/03/2021 at 15:40:03,22.0,41.75538325257977,-2.380254154447703,476.22934
21/03/2021 at 15:40:06,25.0,41.93632325819038,-2.380254154447703,477.76523
21/03/2021 at 15:40:09,28.0,41.93632325819038,-2.380254154447703,477.9387
21/03/2021 at 15:40:17,36.0,41.75538325257977,-2.380254154447703,436.81683
21/03/2021 at 15:40:20,39.0,41.93632325819038,-2.380254154447703,436.5813
21/03/2021 at 15:40:23,42.0,41.93632325819038,-2.380254154447703,436.50018
21/03/2021 at 15:40:27,45.0,41.45707829125295,-2.380254154447703,442.85526
21/03/2021 at 15:40:30,49.0,40.69986460528103,-2.380254154447703,450.4346
21/03/2021 at 15:40:34,52.0,40.358965024379735,-2.380254154447703,453.62244
21/03/2021 at 15:40:37,55.0,40.078854517910756,-2.380254154447703,455.5681
21/03/2021 at 15:40:40,58.0,39.91248089608239,-2.380254154447703,457.1459
21/03/2021 at 15:40:43,61.0,39.747353530310804,-2.380254154447703,458.40045
21/03/2021 at 15:40:45,64.0,39.63795181567482,-2.380254154447703,459.49127
21/03/2021 at 15:40:48,67.0,39.52909035862105,-2.380254154447703,460.46332
21/03/2021 at 15:40:51,70.0,39.420763849460435,-2.380254154447703,461.34576
21/03/2021 at 15:40:54,73.0,39.31296705639732,-2.380254154447703,462.13232
21/03/2021 at 15:40:57,76.0,39.25926568939127,-2.380254154447703,462.78928
21/03/2021 at 15:41:00,79.0,39.1522538275271,-2.380254154447703,463.4191
21/03/2021 at 15:41:03,82.0,39.09894207178738,-2.380254154447703,463.9057
21/03/2021 at 15:41:06,85.0,39.045758933194875,-2.380254154447703,464.33334
21/03/2021 at 15:41:09,88.0,38.9927037926529,-2.380254154447703,464.53976
21/03/2021 at 15:41:12,91.0,38.93977603552408,-2.380254154447703,464.73535
21/03/2021 at 15:41:15,94.0,38.93977603552408,-2.380254154447703,464.8021
21/03/2021 at 15:41:18,96.0,38.88697505158759,-2.380254154447703,464.85138
21/03/2021 at 15:41:21,99.0,38.83430023499695,-2.380254154447703,464.8087
21/03/2021 at 15:41:23,102.0,38.78175098423836,-2.380254154447703,464.7858
21/03/2021 at 15:41:26,105.0,38.78175098423836,-2.380254154447703,464.65775
21/03/2021 at 15:41:29,108.0,38.72932670208938,-2.380254154447703,464.50833
21/03/2021 at 15:41:32,111.0,38.67702679557834,-2.380254154447703,464.33798
21/03/2021 at 15:41:35,114.0,38.62485067594398,-2.380254154447703,464.11798
21/03/2021 at 15:41:38,117.0,38.62485067594398,-2.380254154447703,463.91696
21/03/2021 at 15:41:41,120.0,38.57279775859576,-2.380254154447703,463.65
21/03/2021 at 15:41:44,123.0,38.52086746307452,-2.380254154447703,463.52463
21/03/2021 at 15:41:47,125.0,38.46905921301362,-2.380254154447703,463.28445
21/03/2021 at 15:41:50,128.0,38.41737243610064,-2.380254154447703,463.04114
21/03/2021 at 15:41:52,131.0,38.41737243610064,-2.380254154447703,462.8145
21/03/2021 at 15:41:55,134.0,38.365806564039374,-2.380254154447703,462.56888
21/03/2021 at 15:41:58,137.0,38.31436103251234,-2.380254154447703,462.35855
21/03/2021 at 15:42:01,140.0,38.26303528114378,-2.380254154447703,462.13776
21/03/2021 at 15:42:04,143.0,38.26303528114378,-2.380254154447703,461.93402
21/03/2021 at 15:42:07,146.0,38.211828753462974,-2.380254154447703,461.67017
21/03/2021 at 15:42:10,149.0,38.160740896868084,-2.380254154447703,461.31976
21/03/2021 at 15:42:13,152.0,38.109771162590334,-2.380254154447703,460.97168
21/03/2021 at 15:42:16,154.0,38.109771162590334,-2.380254154447703,460.67325
21/03/2021 at 15:42:19,157.0,38.058919005658694,-2.380254154447703,460.32712
21/03/2021 at 15:42:21,160.0,38.008183884864856,-2.380254154447703,459.96933
21/03/2021 at 15:42:24,163.0,37.95756526272872,-2.380254154447703,459.53085
21/03/2021 at 15:42:27,166.0,37.907062605464205,-2.380254154447703,458.90414
21/03/2021 at 15:42:30,169.0,37.907062605464205,-2.380254154447703,458.3341
21/03/2021 at 15:42:33,172.0,37.85667538294551,-2.380254154447703,457.67133
21/03/2021 at 15:42:36,175.0,37.85667538294551,-2.380254154447703,457.22818
21/03/2021 at 15:42:39,178.0,37.80640306867365,-2.380254154447703,456.6488
21/03/2021 at 15:42:42,181.0,37.75624513974355,-2.380254154447703,456.04153
21/03/2021 at 15:42:45,184.0,37.75624513974355,-2.380254154447703,455.37213
21/03/2021 at 15:42:48,186.0,37.70620107681131,-2.380254154447703,454.6329
21/03/2021 at 15:42:51,190.0,37.95756526272872,-2.380254154447703,451.35815
21/03/2021 at 15:42:54,193.0,38.26303528114378,-2.380254154447703,446.63678
21/03/2021 at 15:42:57,196.0,38.365806564039374,-2.380254154447703,443.76755
21/03/2021 at 15:43:00,199.0,38.41737243610064,-2.380254154447703,441.85953
21/03/2021 at 15:43:03,202.0,38.46905921301362,-2.380254154447703,440.38416
21/03/2021 at 15:43:06,205.0,38.52086746307452,-2.380254154447703,439.1688
21/03/2021 at 15:43:09,208.0,38.57279775859576,-2.380254154447703,438.06055
21/03/2021 at 15:43:12,211.0,38.57279775859576,-2.380254154447703,437.08032
21/03/2021 at 15:43:15,214.0,38.62485067594398,-2.380254154447703,436.16144
21/03/2021 at 15:43:18,216.0,38.67702679557834,-2.380254154447703,435.29803
21/03/2021 at 15:43:21,219.0,38.67702679557834,-2.380254154447703,434.48273
21/03/2021 at 15:43:23,222.0,38.72932670208938,-2.380254154447703,433.78308
21/03/2021 at 15:43:26,225.0,38.72932670208938,-2.380254154447703,433.0427
21/03/2021 at 15:43:29,228.0,38.72932670208938,-2.380254154447703,432.2914
21/03/2021 at 15:43:32,231.0,38.78175098423836,-2.380254154447703,431.6364
21/03/2021 at 15:43:35,234.0,38.78175098423836,-2.380254154447703,431.0679
21/03/2021 at 15:43:38,236.0,38.83430023499695,-2.380254154447703,430.4451
21/03/2021 at 15:43:40,239.0,38.83430023499695,-2.380254154447703,429.8894
21/03/2021 at 15:43:43,242.0,38.83430023499695,-2.380254154447703,429.3407
21/03/2021 at 15:43:46,245.0,38.83430023499695,-2.380254154447703,428.8537
21/03/2021 at 15:43:49,248.0,38.88697505158759,-2.380254154447703,428.35623
21/03/2021 at 15:43:52,250.0,38.88697505158759,-2.380254154447703,427.8929
21/03/2021 at 15:43:54,253.0,38.88697505158759,-2.380254154447703,427.44275
21/03/2021 at 15:43:57,256.0,38.88697505158759,-2.380254154447703,426.99884
21/03/2021 at 15:44:00,259.0,38.93977603552408,-2.380254154447703,426.54288
21/03/2021 at 15:44:03,262.0,38.93977603552408,-2.380254154447703,426.1525
21/03/2021 at 15:44:06,264.0,38.93977603552408,-2.380254154447703,425.71555
21/03/2021 at 15:44:08,267.0,38.93977603552408,-2.380254154447703,425.34964
21/03/2021 at 15:44:11,270.0,38.93977603552408,-2.380254154447703,424.9996
21/03/2021 at 15:44:14,273.0,38.9927037926529,-2.380254154447703,424.60846
21/03/2021 at 15:44:17,276.0,38.9927037926529,-2.380254154447703,424.22855
21/03/2021 at 15:44:20,278.0,38.9927037926529,-2.380254154447703,423.76056
21/03/2021 at 15:44:22,281.0,38.9927037926529,-2.380254154447703,423.3799
21/03/2021 at 15:44:25,284.0,38.9927037926529,-2.380254154447703,423.0233
21/03/2021 at 15:44:28,287.0,38.9927037926529,-2.380254154447703,422.65775
21/03/2021 at 15:44:31,290.0,39.045758933194875,-2.380254154447703,422.3015
21/03/2021 at 15:44:34,292.0,39.045758933194875,-2.380254154447703,421.9709
21/03/2021 at 15:44:36,295.0,39.045758933194875,-2.380254154447703,421.65347
21/03/2021 at 15:44:39,298.0,39.045758933194875,-2.380254154447703,421.2639
21/03/2021 at 15:44:42,301.0,39.045758933194875,-2.380254154447703,420.95966
21/03/2021 at 15:44:45,304.0,39.045758933194875,-2.380254154447703,420.69693
21/03/2021 at 15:44:47,306.0,39.045758933194875,-2.380254154447703,420.4001
21/03/2021 at 15:44:50,309.0,39.09894207178738,-2.380254154447703,420.10245
21/03/2021 at 15:44:53,312.0,39.09894207178738,-2.380254154447703,419.78812
21/03/2021 at 15:44:56,315.0,39.09894207178738,-2.380254154447703,419.5386
21/03/2021 at 15:44:59,317.0,39.09894207178738,-2.380254154447703,419.26932
21/03/2021 at 15:45:01,320.0,39.09894207178738,-2.380254154447703,418.99146
21/03/2021 at 15:45:04,323.0,39.09894207178738,-2.380254154447703,418.71518
21/03/2021 at 15:45:07,326.0,39.09894207178738,-2.380254154447703,418.4447
21/03/2021 at 15:45:10,329.0,39.09894207178738,-2.380254154447703,418.19403
21/03/2021 at 15:45:13,331.0,39.09894207178738,-2.380254154447703,417.96002
21/03/2021 at 15:45:15,334.0,39.09894207178738,-2.380254154447703,417.7086
21/03/2021 at 15:45:18,337.0,39.1522538275271,-2.380254154447703,417.4707
21/03/2021 at 15:45:21,340.0,39.1522538275271,-2.380254154447703,417.14822
21/03/2021 at 15:45:24,342.0,39.1522538275271,-2.380254154447703,416.967
21/03/2021 at 15:45:26,345.0,39.1522538275271,-2.380254154447703,416.7695
21/03/2021 at 15:45:29,348.0,39.1522538275271,-2.380254154447703,416.57663
21/03/2021 at 15:45:32,351.0,39.1522538275271,-2.380254154447703,416.35352
21/03/2021 at 15:45:35,354.0,39.1522538275271,-2.380254154447703,416.14435
21/03/2021 at 15:45:38,356.0,39.1522538275271,-2.380254154447703,415.9639
21/03/2021 at 15:45:40,359.0,39.1522538275271,-2.380254154447703,415.7346
21/03/2021 at 15:45:43,362.0,39.1522538275271,-2.380254154447703,415.5219
