Absolute Time,Time Elapsed,Temperature,Vref,Average Output

15/05/2020 at 16:06:34,0.0,42.179910269832604,-4.335288367546432,451.89456
15/05/2020 at 16:06:37,3.0,42.179910269832604,-4.335288367546432,449.24667
15/05/2020 at 16:06:40,6.0,42.179910269832604,-4.335288367546432,448.62997
15/05/2020 at 16:06:43,9.0,42.179910269832604,-4.335288367546432,448.41132
15/05/2020 at 16:06:46,11.0,42.179910269832604,-4.335288367546432,448.27786
15/05/2020 at 16:06:49,14.0,42.179910269832604,-4.335288367546432,448.16754
15/05/2020 at 16:07:04,30.0,42.179910269832604,-4.335288367546432,521.1629
15/05/2020 at 16:07:08,33.0,42.179910269832604,-4.335288367546432,517.92926
15/05/2020 at 16:07:11,36.0,42.179910269832604,-4.335288367546432,517.3992
15/05/2020 at 16:07:26,51.0,42.179910269832604,-4.335288367546432,449.59244
15/05/2020 at 16:07:29,54.0,42.179910269832604,-4.335288367546432,448.1658
15/05/2020 at 16:07:32,57.0,42.179910269832604,-4.335288367546432,447.8443
15/05/2020 at 16:07:38,63.0,41.51641722413324,-4.335288367546432,467.77817
15/05/2020 at 16:07:42,67.0,40.98803080350943,-4.335288367546432,475.14963
15/05/2020 at 16:07:46,71.0,40.75719727805131,-4.335288367546432,478.67706
15/05/2020 at 16:07:49,74.0,40.58564465931099,-4.335288367546432,481.54794
15/05/2020 at 16:07:52,78.0,40.41541678443419,-4.335288367546432,484.32526
15/05/2020 at 16:07:56,81.0,40.24649335053262,-4.335288367546432,486.42722
15/05/2020 at 16:07:59,84.0,40.19047197284957,-4.335288367546432,487.92374
15/05/2020 at 16:08:02,87.0,40.0232570098668,-4.335288367546432,489.37463
15/05/2020 at 16:08:05,90.0,39.96779936991534,-4.335288367546432,490.74985
15/05/2020 at 16:08:08,93.0,39.857300891665396,-4.335288367546432,492.18774
15/05/2020 at 16:08:11,97.0,39.747353530310804,-4.335288367546432,493.52457
15/05/2020 at 16:08:14,100.0,39.63795181567482,-4.335288367546432,494.9584
15/05/2020 at 16:08:18,103.0,39.52909035862105,-4.335288367546432,496.0575
15/05/2020 at 16:08:21,106.0,39.474860564349,-4.335288367546432,497.10284
15/05/2020 at 16:08:24,109.0,39.366799562402925,-4.335288367546432,498.17938
15/05/2020 at 16:08:27,112.0,39.25926568939127,-4.335288367546432,499.02542
15/05/2020 at 16:08:30,115.0,39.20569482401323,-4.335288367546432,500.01184
15/05/2020 at 16:08:33,118.0,39.1522538275271,-4.335288367546432,500.7594
15/05/2020 at 16:08:36,121.0,39.045758933194875,-4.335288367546432,501.54852
15/05/2020 at 16:08:39,124.0,38.93977603552408,-4.335288367546432,502.38187
15/05/2020 at 16:08:42,128.0,38.88697505158759,-4.335288367546432,503.15857
15/05/2020 at 16:08:45,131.0,38.83430023499695,-4.335288367546432,503.87695
15/05/2020 at 16:08:48,134.0,38.72932670208938,-4.335288367546432,504.57684
15/05/2020 at 16:08:51,137.0,38.62485067594398,-4.335288367546432,505.34863
15/05/2020 at 16:08:54,140.0,38.62485067594398,-4.335288367546432,506.00693
15/05/2020 at 16:08:57,143.0,38.52086746307452,-4.335288367546432,506.74033
15/05/2020 at 16:09:00,146.0,38.46905921301362,-4.335288367546432,507.44714
15/05/2020 at 16:09:03,149.0,38.36580656403937,-4.335288367546432,508.03958
15/05/2020 at 16:09:06,152.0,38.31436103251234,-4.335288367546432,508.72214
15/05/2020 at 16:09:09,155.0,38.26303528114378,-4.335288367546432,509.40237
15/05/2020 at 16:09:12,158.0,38.211828753462974,-4.335288367546432,510.02136
15/05/2020 at 16:09:15,161.0,38.109771162590334,-4.335288367546432,510.6762
15/05/2020 at 16:09:18,164.0,38.058919005658694,-4.335288367546432,511.3778
15/05/2020 at 16:09:21,167.0,37.95756526272872,-4.335288367546432,512.0858
15/05/2020 at 16:09:24,170.0,37.907062605464205,-4.335288367546432,512.77325
15/05/2020 at 16:09:27,173.0,37.856675382945504,-4.335288367546432,513.4388
15/05/2020 at 16:09:30,176.0,37.80640306867365,-4.335288367546432,514.1652
15/05/2020 at 16:09:33,178.0,37.70620107681131,-4.335288367546432,514.9061
15/05/2020 at 16:09:36,181.0,37.65627036406202,-4.335288367546432,515.66785
15/05/2020 at 16:09:39,184.0,37.60645248917781,-4.335288367546432,516.4379
15/05/2020 at 16:09:42,187.0,37.507153221029554,-4.335288367546432,517.2559
15/05/2020 at 16:09:45,190.0,37.45767082033295,-4.335288367546432,518.0335
15/05/2020 at 16:09:48,193.0,37.40829924257501,-4.335288367546432,518.85266
15/05/2020 at 16:09:50,196.0,37.35903799245707,-4.335288367546432,519.5297
15/05/2020 at 16:09:54,199.0,37.260844510482166,-4.335288367546432,521.31714
15/05/2020 at 16:09:57,202.0,37.21191130447548,-4.335288367546432,523.13434
15/05/2020 at 16:10:00,205.0,37.16308647775131,-4.335288367546432,524.8426
15/05/2020 at 16:10:03,208.0,37.11436955128462,-4.335288367546432,526.51154
15/05/2020 at 16:10:06,211.0,37.065760049219236,-4.335288367546432,527.89484
15/05/2020 at 16:10:08,214.0,37.065760049219236,-4.335288367546432,528.5237
15/05/2020 at 16:10:12,217.0,37.21191130447548,-4.335288367546432,525.6759
