,time top,average bs data top,pos/neg top,time bot,average bs data bot,pos/neg bot
0,0,0.0,negative,0.0,0.0,positive
1,3,-0.5194331296673461,,3.0,-0.8744147157190626,
2,6,-0.8240835030549882,,6.0,-1.30727424749164,
3,8,-1.167175831636115,,9.0,-1.662625418060199,
4,11,-1.193397827562797,,12.0,-1.937123745819396,
5,14,-1.343601493550576,,15.0,-2.097157190635451,
6,17,-1.397742701968771,,17.0,-2.271739130434782,
7,20,-2.160132382892057,,20.0,-2.479096989966554,
8,23,-2.795145960624575,,23.0,-2.611454849498327,
9,26,-2.779446707399864,,26.0,-2.796571906354513,
10,30,-0.7972674813306178,,29.0,-3.047658862876254,
11,35,-0.04090291921249121,,32.0,-3.214297658862876,
12,38,-0.01637813985064371,,34.0,-3.334113712374581,
13,41,0.5936014935505772,,37.0,-3.503678929765886,
14,44,0.5763747454175158,,40.0,-3.590719063545149,
15,47,0.2132552613713518,,43.0,-3.698244147157191,
16,50,-0.03996945010183238,,46.0,-3.859949832775919,
17,53,-0.1533435166327223,,48.0,-4.043478260869563,
18,56,-0.3533604887983697,,51.0,-4.11948160535117,
19,59,-0.4628309572301413,,54.0,-4.275334448160535,
20,61,-0.6446028513238283,,57.0,-4.470484949832775,
21,64,-0.8726238968092329,,60.0,-4.528762541806019,
22,67,-1.654192124915138,,63.0,-4.640217391304347,
23,70,-2.131194840461643,,65.0,-4.780602006688963,
24,73,-2.457824168363883,,68.0,-4.85200668896321,
25,76,-2.71631025118805,,71.0,-4.935451505016721,
26,79,-2.897997284453496,,74.0,-5.10334448160535,
27,81,-3.018923964697895,,77.0,-5.234615384615384,
28,84,-3.258146639511202,,79.0,-5.347909698996654,
29,87,-3.350135777325187,,82.0,-5.472909698996655,
30,90,-3.529192124915139,,85.0,-5.608277591973241,
31,93,-3.718431771894094,,88.0,-5.631354515050167,
32,96,-3.871520706042091,,91.0,-5.701923076923077,
33,98,-3.975220638153429,,94.0,-5.838628762541806,
34,101,-4.166921249151391,,96.0,-5.852675585284279,
35,104,-4.261286490156144,,99.0,-5.955267558528428,
36,107,-4.334691106585201,,102.0,-6.06839464882943,
37,110,-4.510777325186694,,105.0,-6.106521739130435,
38,112,-4.687287847929396,,108.0,-6.202006688963209,
39,115,-4.762050237610319,,110.0,-6.31680602006689,
40,118,-4.950016972165648,,113.0,-6.365468227424748,
41,121,-5.145960624575696,,116.0,-6.47633779264214,
42,124,-5.294721656483367,,119.0,-6.54933110367893,
43,127,-5.383486082824168,,122.0,-6.651086956521738,
44,129,-5.567718940936864,,124.0,-6.691387959866219,
45,132,-5.656483367277663,,127.0,-6.787458193979932,
46,135,-5.740156143923965,,130.0,-6.829933110367892,
47,138,-5.889765784114053,,133.0,-6.839464882943144,
48,141,-5.991089613034624,,136.0,-6.980602006688963,
49,143,-6.072725729803123,,139.0,-7.049080267558528,
50,146,-6.254667345553292,,141.0,-7.065217391304348,
51,149,-6.422522063815343,,144.0,-7.179264214046823,
52,152,-6.474966055668704,,147.0,-7.238879598662206,
53,155,-6.603445349626613,,150.0,-7.31220735785953,
54,158,-6.752291242362525,,153.0,-8.243979933110367,
55,160,-6.82060420909708,,156.0,-8.64448160535117,
56,163,-6.916496945010183,,158.0,-8.805434782608694,
57,166,-7.068906992532247,,161.0,-9.01747491638796,
58,169,-7.085454854039376,,164.0,-9.255434782608695,
59,172,-7.207060420909708,,167.0,-9.388377926421406,
60,174,-7.34877800407332,,170.0,-9.536956521739128,
61,177,-7.409198913781399,,173.0,-9.755183946488295,
62,180,-7.47929395790903,,175.0,-10.06797658862876,
63,183,-7.589358452138493,,178.0,-10.27750836120401,
64,186,-7.731076035302104,,181.0,-10.66780936454849,
65,188,-7.756534283774609,,184.0,-11.03227424749164,
66,191,-7.898761031907672,,187.0,-11.13428093645485,
67,194,-7.999660556687033,,190.0,-11.38051839464883,
68,197,-8.033604887983707,,192.0,-11.56178929765886,
69,200,-8.13306177868296,,195.0,-11.37608695652174,
70,203,-8.227172437202988,,198.0,-11.30911371237458,
71,205,-8.288951120162933,,201.0,-11.27173913043478,
72,208,-8.377376103190768,,204.0,-11.23269230769231,
73,211,-8.500763747454176,,206.0,-11.18403010033445,
74,214,-8.56500339443313,,209.0,-11.1871237458194,
75,217,-9.411914460285132,,212.0,-11.19765886287625,
76,220,-9.79735234215886,,215.0,-11.18277591973244,
77,222,-9.963340122199593,,217.0,-11.2185618729097,
78,225,-10.15495587236931,,220.0,-11.27801003344482,
79,228,-10.403088934148,,223.0,-11.32943143812709,
80,231,-10.57306517311609,,226.0,-11.38586956521739,
81,234,-10.74405974202308,,229.0,-11.42617056856187,
82,237,-11.11210115410726,,231.0,-11.46964882943144,
83,239,-11.37720638153428,,234.0,-11.50585284280936,
84,242,-11.58850984385608,,237.0,-11.59916387959866,
85,245,-11.85327562797013,,240.0,-11.59021739130435,
86,248,-12.07892057026477,,243.0,-11.64548494983277,
87,251,-12.21732858112695,,245.0,-11.81981605351171,
88,254,-12.37661235573659,,248.0,-11.85142140468227,
89,256,-12.68448744059742,,251.0,-11.89280936454849,
90,259,-12.57595044127631,,254.0,-12.00342809364549,
91,262,-12.5168873048201,,257.0,-12.01128762541806,
92,265,-12.52520366598778,,260.0,-12.01070234113712,
93,268,-12.48447046843177,,262.0,-12.12207357859532,
94,270,-12.45027155465037,,265.0,-12.17809364548495,
95,273,-12.49575695858792,,268.0,-12.27583612040134,
96,276,-12.50432790224033,,271.0,-12.34665551839465,
97,279,-12.51519008825526,,274.0,-12.37224080267559,
98,281,-12.57832654446707,,276.0,-12.40367892976589,
99,284,-12.61456211812627,,279.0,-12.52198996655518,
100,287,-12.68788187372709,,282.0,-12.58377926421405,
101,290,-12.78547182620502,,285.0,-13.56780936454849,
102,293,-12.84326205023761,,288.0,-14.21822742474916,
103,295,-12.86023421588595,,291.0,-14.3804347826087,
104,298,-12.96121860149355,,293.0,-14.48051839464883,
105,301,-13.07578071961982,,296.0,-14.67290969899665,
106,304,-13.09063136456212,,299.0,-14.95242474916388,
107,307,-13.14918533604888,,302.0,-15.186872909699,
108,309,-13.23659198913781,,305.0,-15.36555183946488,
109,312,-13.28148336727766,,308.0,-15.23996655518395,
110,315,-13.38026137135098,,310.0,-15.13294314381271,
111,318,-13.50483706720978,,313.0,-15.03946488294314,
112,321,-13.54871011541073,,316.0,-15.02441471571906,
113,324,-13.56559742023082,,319.0,-15.00384615384615,
114,326,-13.67557705363204,,322.0,-14.95752508361204,
115,329,-13.76383231500339,,324.0,-14.98612040133779,
116,332,-13.80380176510523,,327.0,-15.02817725752508,
117,335,-13.87941276306857,,330.0,-15.03779264214047,
118,338,-13.98048200950441,,333.0,-15.0633779264214,
119,340,-14.06457909029192,,335.0,-15.16145484949833,
120,343,-14.19271894093686,,338.0,-15.14565217391304,
121,346,-14.28615071283096,,341.0,-15.1809364548495,
122,349,-15.00882552613714,,344.0,-15.27433110367893,
123,352,-15.5091649694501,,347.0,-15.28127090301003,
124,355,-15.69407671418873,,349.0,-15.3002508361204,
125,357,-15.86396809232858,,352.0,-15.39849498327759,
126,360,-16.07111337406653,,355.0,-15.4693143812709,
127,363,-16.34809911744739,,358.0,-15.54147157190635,
128,366,-16.61778682959946,,361.0,-15.64280936454849,
129,369,-16.89324507807196,,363.0,-15.6693143812709,
130,372,-16.80728105906314,,366.0,-15.73311036789298,
