time top,average bs data top,pos/neg top,time bot,average bs data bot,pos/neg bot
0.0,0.0,negative,0.0,0.0,positive
3.0,-0.5834080717488788,,3.0,-0.8528761061946919,
6.0,-1.159080717488789,,6.0,-2.675147492625369,
8.0,-1.529932735426009,,9.0,-2.088864306784661,
11.0,-1.9044843049327362,,12.0,-1.792895771878074,
14.0,-2.377802690582957,,14.0,-1.7916666666666672,
17.0,-2.711659192825112,,17.0,-1.8107177974434607,
20.0,-3.0459641255605363,,20.0,-1.893313667649952,
23.0,-4.509529147982063,,23.0,-1.843289085545725,
28.0,-6.166143497757847,,26.0,-2.1021386430678475,
31.0,-5.895067264573989,,28.0,-2.3706981317600793,
34.0,-5.511098654708519,,31.0,-2.6729351032448405,
37.0,-4.931502242152466,,34.0,-2.8924532940019665,
40.0,-5.088004484304933,,37.0,-3.1048426745329407,
43.0,-5.1078475336322855,,40.0,-3.297443461160276,
45.0,-5.165134529147983,,42.0,-3.4947148475909535,
48.0,-5.232399103139014,,45.0,-3.659169124877086,
51.0,-5.369843049327355,,48.0,-3.852630285152411,
54.0,-5.340582959641255,,51.0,-3.9873402163225182,
57.0,-5.648654708520178,,54.0,-4.186332350049165,
60.0,-6.133856502242152,,56.0,-4.354228121927238,
63.0,-7.6887892376681615,,59.0,-4.506022615535889,
66.0,-7.09439461883408,,62.0,-4.663348082595872,
69.0,-6.881838565022422,,65.0,-4.833333333333332,
71.0,-6.839013452914798,,67.0,-4.957964601769912,
74.0,-6.852354260089686,,70.0,-5.117502458210423,
77.0,-6.85964125560538,,73.0,-5.23193215339233,
80.0,-6.779820627802691,,76.0,-5.3869223205506405,
83.0,-6.8923766816143495,,79.0,-5.4863569321533925,
85.0,-7.000448430493272,,81.0,-5.645403146509341,
88.0,-7.143161434977577,,84.0,-5.75417895771878,
91.0,-7.277354260089685,,87.0,-5.86479842674533,
94.0,-7.45695067264574,,90.0,-6.012413962635201,
97.0,-7.580829596412556,,93.0,-6.143805309734513,
99.0,-7.6779147982062765,,95.0,-6.27999016715831,
