,time top,average bs data top,pos/neg top,time bot,average bs data bot,pos/neg bot
0,0,0.0,negative,0.0,0.0,positive
1,3,-0.5474019270474858,,2.0,-0.2828549848942593,
2,7,-0.7291810048176168,,5.0,-0.5158610271903316,
3,11,-1.236579490708879,,8.0,-0.7040030211480356,
4,14,-1.105299380591878,,11.0,-0.8923716012084579,
5,17,-1.186940812112869,,14.0,-1.074924471299093,
6,20,-1.115708878183069,,17.0,-1.23738670694864,
7,23,-1.241655196145904,,19.0,-1.398489425981874,
8,25,-1.2674638678596,,22.0,-1.562009063444109,
9,28,-1.417670337233311,,25.0,-1.294108761329306,
10,31,-1.554714384033034,,28.0,-1.763444108761328,
11,34,-1.690381968341364,,31.0,-2.019486404833837,
12,37,-1.845750172057811,,34.0,-2.304305135951661,
13,40,-1.9706641431521,,37.0,-2.527567975830816,
14,42,-2.072952512044045,,39.0,-2.732552870090634,
15,45,-2.166035788024776,,42.0,-2.939728096676737,
16,48,-2.231073640743288,,45.0,-3.153625377643503,
17,51,-2.285788024776324,,48.0,-3.306268882175226,
18,54,-2.380419821059876,,51.0,-3.488368580060422,
19,57,-2.449673090158292,,53.0,-3.664803625377643,
20,59,-2.555144528561597,,56.0,-3.830891238670695,
21,62,-2.609342739160358,,59.0,-3.983383685800603,
22,65,-2.32906056434962,,62.0,-4.136027190332327,
23,68,-2.60908465244322,,65.0,-4.279078549848943,
24,71,-2.786390227116311,,67.0,-4.397885196374622,
25,74,-2.945457673778388,,70.0,-4.542371601208458,
26,77,-3.123451479697178,,73.0,-4.665407854984895,
27,79,-3.287938747419133,,76.0,-4.786404833836857,
28,82,-3.421971782518926,,79.0,-4.935649546827793,
29,85,-3.56125258086717,,81.0,-5.086102719033231,
30,88,-3.705092911218169,,84.0,-5.030060422960724,
31,91,-3.816242257398486,,87.0,-5.231570996978851,
32,93,-3.921971782518926,,90.0,-5.361782477341388,
33,96,-4.039573296627665,,93.0,-5.491842900302115,
34,99,-4.162250516173433,,96.0,-5.50430513595166,
35,102,-4.273055746730903,,99.0,-5.63844410876133,
36,105,-4.362869924294563,,101.0,-5.760045317220543,
37,107,-4.45887818306951,,104.0,-5.869410876132929,
38,110,-4.545681348933241,,107.0,-6.004984894259819,
39,113,-4.627752924982792,,110.0,-6.118504531722055,
40,116,-4.71705092911218,,113.0,-6.214350453172205,
41,119,-4.796025464556091,,115.0,-6.350906344410876,
42,121,-4.891345492085341,,118.0,-6.454833836858006,
43,124,-4.786992429456296,,121.0,-6.554607250755286,
44,127,-4.909325533379215,,124.0,-6.471374622356494,
45,130,-5.033035099793528,,127.0,-6.624018126888219,
46,133,-5.139194769442533,,130.0,-6.756948640483384,
47,136,-5.152013076393668,,132.0,-6.882930513595166,
