Absolute Time,Time Elapsed,Temperature,Vref,Average Output

17/11/2019 at 13:04:56,0.0,40.58564465931099,3.680351906158357,482.49573
17/11/2019 at 13:04:59,2.0,40.58564465931099,3.680351906158357,482.58136
17/11/2019 at 13:05:02,5.0,40.58564465931099,3.680351906158357,482.86157
17/11/2019 at 13:05:04,8.0,40.58564465931099,3.680351906158357,483.17548
17/11/2019 at 13:05:07,11.0,40.58564465931099,3.680351906158357,483.48083
17/11/2019 at 13:05:10,13.0,40.58564465931099,3.680351906158357,483.73636
17/11/2019 at 13:05:21,24.0,40.0232570098668,3.680351906158357,551.9242
17/11/2019 at 13:05:24,27.0,40.41541678443419,3.680351906158357,551.94037
17/11/2019 at 13:05:27,30.0,40.472013478563085,3.680351906158357,552.19165
17/11/2019 at 13:05:36,40.0,40.078854517910756,3.680351906158357,497.24362
17/11/2019 at 13:05:39,43.0,40.472013478563085,3.680351906158357,494.94293
17/11/2019 at 13:05:42,46.0,40.472013478563085,3.680351906158357,493.97614
17/11/2019 at 13:05:46,50.0,39.747353530310804,3.680351906158357,482.99957
17/11/2019 at 13:05:49,53.0,39.420763849460435,3.680351906158357,486.0724
17/11/2019 at 13:05:52,56.0,39.09894207178738,3.680351906158357,488.066
17/11/2019 at 13:05:55,59.0,38.78175098423836,3.680351906158357,490.05322
17/11/2019 at 13:05:58,62.0,38.57279775859576,3.680351906158357,491.53024
17/11/2019 at 13:06:01,65.0,38.36580656403937,3.680351906158357,492.82452
17/11/2019 at 13:06:04,68.0,38.211828753462974,3.680351906158357,494.1614
17/11/2019 at 13:06:07,70.0,38.058919005658694,3.680351906158357,495.5149
17/11/2019 at 13:06:10,73.0,37.95756526272872,3.680351906158357,496.7385
17/11/2019 at 13:06:13,76.0,37.856675382945504,3.680351906158357,497.9804
17/11/2019 at 13:06:15,79.0,37.75624513974355,3.680351906158357,499.15033
17/11/2019 at 13:06:18,82.0,37.65627036406202,3.680351906158357,500.3705
17/11/2019 at 13:06:21,85.0,37.60645248917781,3.680351906158357,501.53406
17/11/2019 at 13:06:24,88.0,37.55674694330632,3.680351906158357,502.69803
17/11/2019 at 13:06:27,90.0,37.507153221029554,3.680351906158357,503.89566
17/11/2019 at 13:06:30,93.0,37.45767082033295,3.680351906158357,504.9655
17/11/2019 at 13:06:33,96.0,37.40829924257501,3.680351906158357,506.01108
17/11/2019 at 13:06:35,99.0,37.40829924257501,3.680351906158357,507.06516
17/11/2019 at 13:06:38,102.0,37.35903799245707,3.680351906158357,508.20102
17/11/2019 at 13:06:41,105.0,37.35903799245707,3.680351906158357,509.18484
17/11/2019 at 13:06:44,107.0,37.30988657799347,3.680351906158357,510.13757
17/11/2019 at 13:06:47,110.0,37.30988657799347,3.680351906158357,511.03534
17/11/2019 at 13:06:50,113.0,37.30988657799347,3.680351906158357,511.92377
17/11/2019 at 13:06:52,116.0,37.260844510482166,3.680351906158357,512.8573
17/11/2019 at 13:06:55,119.0,37.260844510482166,3.680351906158357,513.7334
17/11/2019 at 13:06:58,122.0,37.260844510482166,3.680351906158357,514.6269
17/11/2019 at 13:07:01,124.0,37.21191130447548,3.680351906158357,515.3952
17/11/2019 at 13:07:04,127.0,37.21191130447548,3.680351906158357,516.2151
17/11/2019 at 13:07:06,130.0,37.21191130447548,3.680351906158357,516.98895
17/11/2019 at 13:07:09,133.0,37.16308647775131,3.680351906158357,517.7496
17/11/2019 at 13:07:12,136.0,37.16308647775131,3.680351906158357,518.4957
17/11/2019 at 13:07:15,138.0,37.11436955128462,3.680351906158357,519.2406
17/11/2019 at 13:07:18,141.0,37.11436955128462,3.680351906158357,519.91315
17/11/2019 at 13:07:20,144.0,37.065760049219236,3.680351906158357,520.58264
17/11/2019 at 13:07:23,147.0,37.065760049219236,3.680351906158357,521.27386
17/11/2019 at 13:07:26,150.0,37.01725749883994,3.680351906158357,521.9003
17/11/2019 at 13:07:29,152.0,37.01725749883994,3.680351906158357,522.5852
17/11/2019 at 13:07:32,155.0,36.96886143054491,3.680351906158357,523.1469
17/11/2019 at 13:07:34,158.0,36.92057137781844,3.680351906158357,523.7381
17/11/2019 at 13:07:37,161.0,36.92057137781844,3.680351906158357,524.3339
17/11/2019 at 13:07:40,163.0,36.87238687720392,3.680351906158357,524.92206
17/11/2019 at 13:07:43,166.0,36.87238687720392,3.680351906158357,525.5511
17/11/2019 at 13:07:45,169.0,36.824307468277205,3.680351906158357,526.0958
17/11/2019 at 13:07:48,172.0,36.776332693620176,3.680351906158357,526.64014
17/11/2019 at 13:07:51,175.0,36.776332693620176,3.680351906158357,527.14734
17/11/2019 at 13:07:54,177.0,36.72846209879464,3.680351906158357,527.64355
17/11/2019 at 13:07:57,180.0,36.72846209879464,3.680351906158357,528.10095
17/11/2019 at 13:07:59,183.0,36.6806952323165,3.680351906158357,528.6103
17/11/2019 at 13:08:02,186.0,36.63303164563024,3.680351906158357,529.10645
17/11/2019 at 13:08:05,188.0,36.72846209879464,3.680351906158357,530.379
17/11/2019 at 13:08:08,191.0,36.92057137781844,3.680351906158357,529.8454
17/11/2019 at 13:08:11,194.0,36.96886143054491,3.680351906158357,529.51404
17/11/2019 at 13:08:14,197.0,36.96886143054491,3.680351906158357,529.42334
17/11/2019 at 13:08:16,200.0,37.01725749883994,3.680351906158357,529.5149
17/11/2019 at 13:08:19,203.0,37.01725749883994,3.680351906158357,529.5498
17/11/2019 at 13:08:22,206.0,37.065760049219236,3.680351906158357,529.60565
17/11/2019 at 13:08:25,208.0,37.065760049219236,3.680351906158357,529.6921
17/11/2019 at 13:08:27,211.0,37.065760049219236,3.680351906158357,529.6495
17/11/2019 at 13:08:30,214.0,37.065760049219236,3.680351906158357,529.5609
17/11/2019 at 13:08:33,217.0,37.11436955128462,3.680351906158357,529.46295
17/11/2019 at 13:08:36,219.0,37.11436955128462,3.680351906158357,529.61584
17/11/2019 at 13:08:39,222.0,37.11436955128462,3.680351906158357,529.59454
17/11/2019 at 13:08:41,225.0,37.11436955128462,3.680351906158357,529.6218
17/11/2019 at 13:08:44,228.0,37.11436955128462,3.680351906158357,529.2973
17/11/2019 at 13:08:47,230.0,37.11436955128462,3.680351906158357,529.244
17/11/2019 at 13:08:50,233.0,37.11436955128462,3.680351906158357,529.2896
17/11/2019 at 13:08:52,236.0,37.11436955128462,3.680351906158357,529.19507
17/11/2019 at 13:08:55,239.0,37.11436955128462,3.680351906158357,529.00977
17/11/2019 at 13:08:58,241.0,37.11436955128462,3.680351906158357,528.9664
17/11/2019 at 13:09:01,244.0,37.11436955128462,3.680351906158357,528.67804
17/11/2019 at 13:09:03,247.0,37.11436955128462,3.680351906158357,528.53534
17/11/2019 at 13:09:06,250.0,37.16308647775131,3.680351906158357,528.52814
17/11/2019 at 13:09:09,253.0,37.16308647775131,3.680351906158357,528.3799
17/11/2019 at 13:09:12,255.0,37.16308647775131,3.680351906158357,528.3441
17/11/2019 at 13:09:14,258.0,37.16308647775131,3.680351906158357,528.24615
17/11/2019 at 13:09:17,261.0,37.16308647775131,3.680351906158357,528.1942
17/11/2019 at 13:09:20,263.0,37.16308647775131,3.680351906158357,528.1316
17/11/2019 at 13:09:23,266.0,37.16308647775131,3.680351906158357,528.00555
17/11/2019 at 13:09:25,269.0,37.16308647775131,3.680351906158357,527.9148
17/11/2019 at 13:09:28,272.0,37.16308647775131,3.680351906158357,527.79645
