,time top,average bs data top,pos/neg top,time bot,average bs data bot,pos/neg bot
0,0,0.0,negative,0.0,0.0,positive
1,3,0.1249999999999982,,3.0,0.151615466101696,
2,6,0.2909815005138736,,6.0,0.3471927966101703,
3,8,0.1835817060637173,,9.0,0.4327330508474554,
4,11,0.2149280575539547,,11.0,0.5814353813559324,
5,14,0.2483299075025687,,14.0,0.63810911016949,
6,17,0.1689362795477885,,17.0,0.7146451271186439,
7,20,-0.04457862281603592,,19.0,0.669094279661017,
8,22,-0.04021068859198461,,22.0,0.7145127118644035,
9,25,-0.05858170606372209,,25.0,0.691737288135594,
10,29,-0.1816546762589937,,28.0,0.6929290254237279,
11,32,-0.2156988694758459,,30.0,0.7294756355932156,
12,34,-0.1880781089414197,,33.0,0.8633474576271164,
13,37,-0.1324511819116155,,36.0,0.8814883474576237,
14,40,-0.09365364850976612,,39.0,0.8853283898305075,
15,43,-0.148638232271327,,41.0,0.8302436440677988,
16,45,-0.003083247687566045,,44.0,0.8188559322033884,
17,48,0.02800616649537484,,47.0,0.7743644067796587,
18,51,-0.07669578622816225,,49.0,0.7735699152542355,
19,54,-0.1153648509763629,,52.0,0.7280190677966089,
20,56,-0.1140801644398787,,55.0,0.6728019067796578,
21,59,-0.1485097636176782,,58.0,0.613479872881355,
22,62,-0.1781860226104846,,60.0,0.4915254237288116,
23,65,-0.2312435765673165,,63.0,0.4838453389830485,
24,67,-0.2834018499486129,,66.0,0.4352489406779634,
25,70,-0.2966341212744101,,68.0,0.3367319915254223,
26,73,-0.3435251798561165,,71.0,0.3211069915254206,
27,75,-0.3899023638232256,,74.0,0.2370233050847443,
28,78,-0.462358684480987,,77.0,0.1667108050847433,
29,81,-0.5346865364851001,,79.0,0.1141419491525411,
30,84,-0.7263617677286748,,82.0,0.05918961864406701,
31,86,-0.7898252826310393,,85.0,0.01787605932203101,
32,89,-0.7507708119218939,,87.0,-0.09600105932203475,
33,92,-0.9216341212744128,,90.0,-0.1811440677966093,
34,95,-0.9509249743062698,,93.0,-0.2517213983050808,
35,97,-0.9831706063720433,,96.0,-0.2959480932203414,
36,100,-1.077338129496405,,98.0,-0.2824417372881362,
37,103,-1.163669064748203,,101.0,-0.3708951271186449,
38,105,-1.241521068859198,,104.0,-0.4237288135593237,
39,108,-1.290339157245634,,106.0,-0.5078124999999999,
40,111,-1.360354573484071,,109.0,-0.5195974576271198,
41,114,-1.391315519013362,,112.0,-0.5957362288135631,
42,116,-1.473663926002058,,115.0,-0.6634004237288157,
43,119,-1.57412641315519,,117.0,-0.7617849576271222,
44,122,-1.670220966084277,,120.0,-0.7695974576271174,
45,124,-1.770683453237412,,123.0,-0.8056144067796592,
46,127,-1.794578622816034,,125.0,-0.8203125000000012,
47,130,-1.906731757451182,,128.0,-0.8748675847457651,
48,133,-2.024023638232273,,131.0,-0.911281779661017,
49,135,-2.156603288797535,,134.0,-0.9291578389830522,
50,138,-2.175231243576568,,136.0,-0.974841101694915,
51,141,-2.193987667009254,,139.0,-1.040254237288135,
52,143,-2.220066803699899,,142.0,-1.069253177966102,
53,146,-2.327081192189106,,144.0,-1.075873940677968,
54,149,-2.394784172661871,,147.0,-1.104608050847458,
55,152,-2.501798561151079,,150.0,-1.19438559322034,
56,154,-2.563848920863312,,153.0,-1.341896186440678,
57,157,-2.620375128468653,,155.0,-1.402012711864408,
58,160,-2.640673175745118,,158.0,-1.403601694915257,
59,162,-2.745503597122305,,161.0,-1.519200211864407,
60,165,-2.773381294964032,,163.0,-1.60169491525424,
61,168,-2.7974049331963,,166.0,-1.663532838983052,
62,171,-2.866521068859201,,169.0,-1.762182203389831,
63,173,-2.891700924974307,,172.0,-1.875926906779661,
64,176,-2.83967112024666,,174.0,-1.937500000000002,
65,179,-2.940133607399794,,177.0,-1.972987288135595,
66,181,-2.993319630010277,,180.0,-2.02383474576271,
67,184,-3.017857142857143,,182.0,-2.103813559322035,
68,187,-3.039311408016445,,185.0,-2.288003177966101,
69,190,-3.05858170606372,,188.0,-2.343087923728812,
70,192,-3.070529290853031,,191.0,-2.414989406779663,
71,195,-3.129367934224047,,193.0,-2.49457097457627,
72,198,-3.155704008221995,,196.0,-2.549920550847461,
73,200,-3.23882322713258,,199.0,-2.608315677966105,
74,203,-3.205806783144913,,201.0,-2.657838983050848,
75,206,-3.290981500513876,,204.0,-2.72470868644068,
76,209,-3.355344295991778,,207.0,-2.782971398305084,
77,211,-3.396068859198357,,210.0,-2.828654661016947,
78,214,-3.494475847893114,,212.0,-2.862552966101696,
79,217,-3.517985611510789,,215.0,-2.927436440677968,
80,219,-3.627826310380267,,218.0,-2.970603813559322,
81,222,-3.662255909558069,,220.0,-3.049126059322031,
82,225,-3.794578622816033,,223.0,-3.077065677966103,
83,228,-3.871788283658787,,226.0,-3.161016949152542,
84,230,-3.862410071942444,,229.0,-3.230402542372881,
85,233,-3.911356628982528,,231.0,-3.300847457627121,
86,236,-3.978545734840701,,234.0,-3.343617584745765,
87,238,-4.067317574511817,,237.0,-3.448358050847458,
88,241,-4.113180883864336,,239.0,-3.512579449152543,
89,244,-4.193473792394656,,242.0,-3.592425847457626,
90,247,-4.246402877697846,,245.0,-3.757282838983051,
91,249,-4.27736382322713,,248.0,-3.802966101694916,
92,252,-4.375,,250.0,-3.82958156779661,
93,255,-4.464414182939364,,253.0,-3.918829449152546,
94,257,-4.492420349434739,,256.0,-3.937102754237289,
95,260,-4.70786228160329,,259.0,-4.022113347457629,
96,263,-4.754881808838643,,261.0,-4.025291313559322,
97,266,-4.804599177800617,,264.0,-4.130031779661018,
98,268,-4.830035971223022,,267.0,-4.143140889830509,
99,271,-4.906474820143885,,269.0,-4.185381355932205,
100,274,-4.990364850976361,,272.0,-4.269200211864407,
101,276,-5.007065775950666,,275.0,-4.415254237288138,
102,279,-5.083761562178827,,278.0,-4.503575211864407,
103,282,-5.110097636176772,,280.0,-4.507547669491526,
104,285,-5.146454265159301,,283.0,-4.55018538135593,
105,287,-5.298047276464544,,286.0,-4.593352754237289,
106,290,-5.469809866392601,,288.0,-4.774629237288138,
107,293,-5.633607399794451,,291.0,-4.821901483050849,
108,295,-5.620118191161356,,294.0,-4.870233050847458,
109,298,-5.726104830421376,,297.0,-4.960143008474577,
110,301,-5.783401849948612,,299.0,-5.011122881355933,
111,304,-5.784686536485098,,302.0,-5.028336864406779,
112,306,-5.886562178828366,,305.0,-5.111493644067796,
113,309,-5.895811921891058,,307.0,-5.183262711864407,
114,312,-5.923047276464544,,310.0,-5.245497881355933,
115,315,-5.987281603288798,,313.0,-5.257282838983049,
116,317,-6.023509763617677,,315.0,-5.288665254237286,
117,320,-6.102646454265158,,318.0,-5.33011122881356,
118,323,-6.092754367934223,,321.0,-5.366393008474575,
119,325,-6.164182939362797,,324.0,-5.407309322033897,
120,328,-6.193345323741007,,326.0,-5.45511122881356,
121,331,-6.224306269270297,,329.0,-5.514036016949155,
122,334,-6.282502569373074,,332.0,-5.542240466101695,
123,336,-6.347636176772867,,334.0,-5.586864406779662,
124,339,-6.337615621788283,,337.0,-5.599311440677965,
125,342,-6.409301130524153,,340.0,-5.625662076271188,
126,344,-6.609326824254881,,342.0,-5.703389830508475,
127,347,-6.654419321685508,,345.0,-5.762447033898306,
128,350,-6.713386433710174,,348.0,-5.788665254237288,
129,353,-6.745760534429599,,351.0,-5.815413135593221,
130,355,-6.791495375128469,,353.0,-5.85752118644068,
131,358,-6.836073997944501,,356.0,-5.893273305084746,
132,361,-6.847122302158273,,359.0,-5.93313029661017,
133,363,-6.850334018499487,,361.0,-6.030455508474576,
134,366,-6.890030832476875,,364.0,-6.036943855932204,
135,369,-6.974691675231243,,367.0,-6.044359110169491,
136,371,-7.024023638232272,,369.0,-6.081965042372882,
137,374,-7.067060637204522,,372.0,-6.095471398305085,
138,377,-7.164825282631038,,375.0,-6.126324152542373,
139,380,-7.178314491264131,,378.0,-6.138506355932203,
140,382,-7.231243576567318,,380.0,-6.147378177966103,
141,385,-7.244604316546762,,383.0,-6.194650423728813,
142,388,-7.246145940390545,,386.0,-6.169226694915254,
143,390,-7.3448098663926,,388.0,-6.1729343220339,
144,393,-7.368319630010276,,391.0,-6.251191737288137,
145,396,-7.401079136690647,,394.0,-6.281117584745764,
146,398,-7.470837615621788,,396.0,-6.31686970338983,
147,401,-7.465184994861252,,399.0,-6.360434322033898,
148,404,-7.503597122302159,,402.0,-6.389565677966102,
149,407,-7.586330935251799,,405.0,-6.447828389830507,
150,409,-7.601361767728673,,407.0,-6.454316737288134,
151,412,-7.640801644398766,,410.0,-6.529396186440677,
152,415,-7.649537512846865,,413.0,-6.527939618644067,
153,417,-7.613437821171635,,415.0,-6.504237288135593,
154,420,-7.665853031860225,,418.0,-6.485169491525424,
155,423,-7.69899794450154,,421.0,-6.523834745762712,
156,425,-7.747687564234326,,424.0,-6.564353813559322,
157,428,-7.781731757451182,,426.0,-6.607123940677967,
158,431,-7.830292908530319,,429.0,-6.718220338983049,
159,434,-7.84982014388489,,432.0,-6.716366525423729,
160,436,-7.909558067831448,,434.0,-6.694253177966103,
161,439,-7.916366906474821,,437.0,-6.688162076271184,
162,442,-7.951053442959918,,440.0,-6.672272245762711,
163,444,-8.010277492291882,,443.0,-6.681276483050849,
164,447,-8.041752312435765,,445.0,-6.683924788135593,
165,450,-8.055755395683452,,448.0,-6.680879237288134,
166,452,-8.077980472764645,,451.0,-6.722457627118645,
167,455,-8.13450668036999,,453.0,-6.763506355932202,
168,458,-8.171634121274407,,456.0,-6.753840042372881,
169,461,-8.20940390544707,,459.0,-6.771980932203391,
170,463,-8.212358684480987,,461.0,-6.797139830508476,
171,466,-8.276079136690647,,464.0,-6.804157838983052,
172,469,-8.320914696813977,,467.0,-6.80177436440678,
173,471,-8.3405704008222,,470.0,-6.868246822033898,
174,474,-8.350976361767728,,472.0,-6.821769067796611,
175,477,-8.389388489208633,,475.0,-6.830773305084747,
176,480,-8.376541623843782,,478.0,-6.846133474576271,
177,482,-8.403776978417266,,480.0,-6.888109110169491,
178,485,-8.427029804727647,,483.0,-6.901085805084743,
179,488,-8.457219938335045,,486.0,-6.952727754237289,
180,490,-8.483812949640289,,489.0,-6.971265889830509,
181,493,-8.484326824254882,,491.0,-6.995233050847459,
182,496,-8.456963001027749,,494.0,-6.999867584745764,
