Absolute Time,Time Elapsed,Temperature,Vref,Average Output

18/03/2022 at 14:21:21,0.0,42.86399450682665,1.8426197458455515,508.02716
18/03/2022 at 14:21:25,3.0,43.182101040494224,1.8426197458455515,503.2721
18/03/2022 at 14:21:28,6.0,43.182101040494224,1.8426197458455515,502.04236
18/03/2022 at 14:21:30,9.0,43.182101040494224,1.8426197458455515,501.58426
18/03/2022 at 14:21:33,11.0,43.182101040494224,1.8426197458455515,501.42358
18/03/2022 at 14:21:36,14.0,43.182101040494224,1.8426197458455515,501.3513
18/03/2022 at 14:21:45,24.0,43.05430705793929,1.8426197458455515,563.70996
18/03/2022 at 14:21:49,27.0,43.182101040494224,1.8426197458455515,563.66113
18/03/2022 at 14:21:51,29.0,43.182101040494224,1.8426197458455515,563.5327
18/03/2022 at 14:22:00,39.0,43.05430705793929,1.8426197458455515,506.10266
18/03/2022 at 14:22:03,42.0,43.182101040494224,1.8426197458455515,503.98065
18/03/2022 at 14:22:06,44.0,43.182101040494224,1.8426197458455515,503.7164
18/03/2022 at 14:22:10,48.0,42.80092035720288,1.8426197458455515,499.93323
18/03/2022 at 14:22:13,51.0,42.179910269832604,1.8426197458455515,507.76703
18/03/2022 at 14:22:16,55.0,41.87584475591002,1.8426197458455515,512.18
18/03/2022 at 14:22:20,58.0,41.695398452970615,1.8426197458455515,514.95074
18/03/2022 at 14:22:23,61.0,41.51641722413324,1.8426197458455515,517.0709
18/03/2022 at 14:22:26,64.0,41.33887747050311,1.8426197458455515,518.9853
18/03/2022 at 14:22:29,67.0,41.16275615881688,1.8426197458455515,520.87384
18/03/2022 at 14:22:32,70.0,41.04611884833093,1.8426197458455515,521.72375
18/03/2022 at 14:22:35,73.0,40.93009542126816,1.8426197458455515,523.2127
18/03/2022 at 14:22:38,76.0,40.75719727805131,1.8426197458455515,524.7339
18/03/2022 at 14:22:41,79.0,40.64268065556431,1.8426197458455515,525.69385
18/03/2022 at 14:22:44,82.0,40.528755852889,1.8426197458455515,526.5741
18/03/2022 at 14:22:47,86.0,40.41541678443419,1.8426197458455515,527.68384
18/03/2022 at 14:22:50,89.0,40.30265745799454,1.8426197458455515,527.61957
18/03/2022 at 14:22:54,92.0,40.24649335053262,1.8426197458455515,527.64703
18/03/2022 at 14:22:57,95.0,40.13459260134588,1.8426197458455515,527.8453
18/03/2022 at 14:23:00,98.0,40.0232570098668,1.8426197458455515,527.26746
18/03/2022 at 14:23:03,102.0,39.96779936991534,1.8426197458455515,526.7948
18/03/2022 at 14:23:07,105.0,39.91248089608239,1.8426197458455515,526.3088
18/03/2022 at 14:23:10,108.0,39.857300891665396,1.8426197458455515,526.6807
18/03/2022 at 14:23:13,111.0,39.802258665180545,1.8426197458455515,526.94196
18/03/2022 at 14:23:16,114.0,39.747353530310804,1.8426197458455515,527.54456
18/03/2022 at 14:23:19,117.0,39.69258480585453,1.8426197458455515,528.45636
18/03/2022 at 14:23:22,120.0,39.69258480585453,1.8426197458455515,529.65826
18/03/2022 at 14:23:25,123.0,39.63795181567482,1.8426197458455515,530.90454
18/03/2022 at 14:23:28,126.0,39.58345388864937,1.8426197458455515,532.23114
18/03/2022 at 14:23:31,129.0,39.52909035862105,1.8426197458455515,533.5386
18/03/2022 at 14:23:34,132.0,39.52909035862105,1.8426197458455515,534.8973
18/03/2022 at 14:23:37,135.0,39.474860564348994,1.8426197458455515,536.34766
18/03/2022 at 14:23:39,138.0,39.420763849460435,1.8426197458455515,537.77466
18/03/2022 at 14:23:42,141.0,39.420763849460435,1.8426197458455515,539.2445
18/03/2022 at 14:23:45,143.0,39.420763849460435,1.8426197458455515,540.81433
