Absolute Time,Time Elapsed,Temperature,Vref,Average Output

23/02/2022 at 11:21:33,0.0,43.700816743588796,0.7478005865102642,442.1669
23/02/2022 at 11:21:41,7.0,43.700816743588796,0.7478005865102642,412.78946
23/02/2022 at 11:21:45,11.0,43.700816743588796,0.7478005865102642,406.73453
23/02/2022 at 11:21:48,15.0,43.700816743588796,0.7478005865102642,404.04565
23/02/2022 at 11:21:52,18.0,43.63530584766614,0.7478005865102642,402.24774
23/02/2022 at 11:21:55,21.0,43.63530584766614,0.7478005865102642,400.89996
23/02/2022 at 11:22:08,34.0,43.63530584766614,0.7478005865102642,461.20355
23/02/2022 at 11:22:13,39.0,43.63530584766614,0.7478005865102642,466.67288
23/02/2022 at 11:22:16,42.0,43.63530584766614,0.7478005865102642,465.02094
23/02/2022 at 11:22:29,55.0,43.63530584766614,0.7478005865102642,410.07416
23/02/2022 at 11:22:33,59.0,43.63530584766614,0.7478005865102642,399.44577
23/02/2022 at 11:22:37,63.0,43.63530584766614,0.7478005865102642,397.4254
23/02/2022 at 11:22:40,66.0,43.182101040494224,0.7478005865102642,396.95667
23/02/2022 at 11:22:45,71.0,42.61277355146671,0.7478005865102642,407.0829
23/02/2022 at 11:22:48,74.0,42.364383314997916,0.7478005865102642,409.22012
23/02/2022 at 11:22:51,77.0,42.179910269832604,0.7478005865102642,411.0721
23/02/2022 at 11:22:55,81.0,42.05778031615117,0.7478005865102642,411.86945
23/02/2022 at 11:22:58,84.0,41.93632325819038,0.7478005865102642,413.05728
23/02/2022 at 11:23:01,87.0,41.815531721694896,0.7478005865102642,414.1233
23/02/2022 at 11:23:04,90.0,41.75538325257977,0.7478005865102642,415.3059
23/02/2022 at 11:23:07,93.0,41.63557643456453,0.7478005865102642,416.24222
23/02/2022 at 11:23:10,96.0,41.57591631627085,0.7478005865102642,417.2803
23/02/2022 at 11:23:13,100.0,41.45707829125295,0.7478005865102642,417.96133
23/02/2022 at 11:23:17,103.0,41.397898657712915,0.7478005865102642,418.8331
23/02/2022 at 11:23:20,106.0,41.28001388344668,0.7478005865102642,419.42557
23/02/2022 at 11:23:23,109.0,41.22130705712722,0.7478005865102642,420.1221
23/02/2022 at 11:23:26,112.0,41.16275615881688,0.7478005865102642,420.8651
23/02/2022 at 11:23:29,115.0,41.04611884833093,0.7478005865102642,421.67868
23/02/2022 at 11:23:32,118.0,40.98803080350943,0.7478005865102642,422.80453
23/02/2022 at 11:23:35,122.0,40.93009542126816,0.7478005865102642,423.34476
23/02/2022 at 11:23:39,125.0,40.81467944948564,0.7478005865102642,424.3705
23/02/2022 at 11:23:42,128.0,40.75719727805131,0.7478005865102642,425.31998
23/02/2022 at 11:23:45,131.0,40.69986460528103,0.7478005865102642,426.49622
23/02/2022 at 11:23:48,134.0,40.64268065556431,0.7478005865102642,427.49652
23/02/2022 at 11:23:51,137.0,40.58564465931099,0.7478005865102642,428.39722
23/02/2022 at 11:23:55,141.0,40.472013478563085,0.7478005865102642,429.24478
23/02/2022 at 11:23:58,144.0,40.41541678443419,0.7478005865102642,430.25464
23/02/2022 at 11:24:01,147.0,40.358965024379735,0.7478005865102642,431.19656
23/02/2022 at 11:24:04,150.0,40.30265745799454,0.7478005865102642,432.15533
23/02/2022 at 11:24:07,153.0,40.24649335053262,0.7478005865102642,433.2032
23/02/2022 at 11:24:11,157.0,40.19047197284957,0.7478005865102642,434.04413
23/02/2022 at 11:24:14,160.0,40.13459260134588,0.7478005865102642,434.90567
23/02/2022 at 11:24:17,163.0,40.078854517910756,0.7478005865102642,435.8021
23/02/2022 at 11:24:20,166.0,40.0232570098668,0.7478005865102642,436.7833
23/02/2022 at 11:24:24,170.0,39.96779936991534,0.7478005865102642,437.79083
23/02/2022 at 11:24:27,173.0,39.91248089608239,0.7478005865102642,438.93213
23/02/2022 at 11:24:30,176.0,39.857300891665396,0.7478005865102642,440.08264
23/02/2022 at 11:24:33,179.0,39.802258665180545,0.7478005865102642,441.11713
23/02/2022 at 11:24:37,183.0,39.747353530310804,0.7478005865102642,441.9939
23/02/2022 at 11:24:40,186.0,39.69258480585453,0.7478005865102642,442.79065
23/02/2022 at 11:24:43,189.0,39.63795181567482,0.7478005865102642,443.40958
23/02/2022 at 11:24:46,192.0,39.58345388864937,0.7478005865102642,444.15738
23/02/2022 at 11:24:50,196.0,39.58345388864937,0.7478005865102642,444.93448
23/02/2022 at 11:24:53,199.0,39.52909035862105,0.7478005865102642,445.88144
23/02/2022 at 11:24:56,202.0,39.474860564348994,0.7478005865102642,446.7545
23/02/2022 at 11:24:59,205.0,39.420763849460435,0.7478005865102642,447.63712
23/02/2022 at 11:25:02,209.0,39.366799562402925,0.7478005865102642,448.40857
23/02/2022 at 11:25:06,212.0,39.366799562402925,0.7478005865102642,449.29953
23/02/2022 at 11:25:09,215.0,39.31296705639732,0.7478005865102642,450.04428
23/02/2022 at 11:25:12,218.0,39.25926568939127,0.7478005865102642,450.62183
23/02/2022 at 11:25:15,221.0,39.25926568939127,0.7478005865102642,451.52893
23/02/2022 at 11:25:19,225.0,39.474860564348994,0.7478005865102642,448.4705
23/02/2022 at 11:25:25,231.0,39.802258665180545,0.7478005865102642,434.41058
23/02/2022 at 11:25:29,235.0,39.96779936991534,0.7478005865102642,434.04572
23/02/2022 at 11:25:32,238.0,40.0232570098668,0.7478005865102642,433.7301
23/02/2022 at 11:25:35,241.0,40.078854517910756,0.7478005865102642,433.1293
23/02/2022 at 11:25:38,244.0,40.13459260134588,0.7478005865102642,432.91583
23/02/2022 at 11:25:41,247.0,40.19047197284957,0.7478005865102642,432.37112
23/02/2022 at 11:25:44,250.0,40.19047197284957,0.7478005865102642,431.6086
23/02/2022 at 11:25:47,253.0,40.24649335053262,0.7478005865102642,430.40353
23/02/2022 at 11:25:50,257.0,40.24649335053262,0.7478005865102642,429.80792
23/02/2022 at 11:25:54,260.0,40.30265745799454,0.7478005865102642,429.3943
23/02/2022 at 11:25:57,263.0,40.30265745799454,0.7478005865102642,428.86984
23/02/2022 at 11:26:00,266.0,40.358965024379735,0.7478005865102642,428.23865
23/02/2022 at 11:26:03,269.0,40.358965024379735,0.7478005865102642,427.8004
23/02/2022 at 11:26:06,272.0,40.358965024379735,0.7478005865102642,427.2748
23/02/2022 at 11:26:09,275.0,40.41541678443419,0.7478005865102642,426.64767
23/02/2022 at 11:26:12,278.0,40.41541678443419,0.7478005865102642,426.26352
23/02/2022 at 11:26:15,281.0,40.472013478563085,0.7478005865102642,425.98526
23/02/2022 at 11:26:18,284.0,40.472013478563085,0.7478005865102642,425.52414
23/02/2022 at 11:26:21,287.0,40.472013478563085,0.7478005865102642,424.93405
23/02/2022 at 11:26:24,290.0,40.528755852889,0.7478005865102642,424.64246
23/02/2022 at 11:26:27,293.0,40.528755852889,0.7478005865102642,424.43448
23/02/2022 at 11:26:30,296.0,40.528755852889,0.7478005865102642,424.20248
23/02/2022 at 11:26:33,299.0,40.528755852889,0.7478005865102642,424.00433
23/02/2022 at 11:26:36,302.0,40.528755852889,0.7478005865102642,423.81314
23/02/2022 at 11:26:39,305.0,40.58564465931099,0.7478005865102642,423.58838
23/02/2022 at 11:26:42,308.0,40.58564465931099,0.7478005865102642,423.2615
23/02/2022 at 11:26:44,311.0,40.58564465931099,0.7478005865102642,423.02286
23/02/2022 at 11:26:47,313.0,40.58564465931099,0.7478005865102642,422.5606
23/02/2022 at 11:26:50,316.0,40.64268065556431,0.7478005865102642,422.42117
