Absolute Time,Time Elapsed,Temperature,Vref,Average Output

09/11/2021 at 11:44:59,0.0,42.927249644215294,1.099706744868035,519.8808
09/11/2021 at 11:45:06,6.0,42.927249644215294,1.099706744868035,498.97742
09/11/2021 at 11:45:10,10.0,42.927249644215294,1.099706744868035,497.11975
09/11/2021 at 11:45:13,13.0,42.927249644215294,1.099706744868035,496.2904
09/11/2021 at 11:45:15,16.0,42.927249644215294,1.099706744868035,495.727
09/11/2021 at 11:45:18,18.0,42.927249644215294,1.099706744868035,495.3345
09/11/2021 at 11:45:35,35.0,42.927249644215294,1.099706744868035,567.51605
09/11/2021 at 11:45:39,39.0,42.927249644215294,1.099706744868035,573.00543
09/11/2021 at 11:45:43,43.0,42.927249644215294,1.099706744868035,571.8062
09/11/2021 at 11:45:58,58.0,42.927249644215294,1.099706744868035,503.62167
09/11/2021 at 11:46:03,63.0,42.99068681102715,1.099706744868035,494.01498
09/11/2021 at 11:46:06,66.0,42.99068681102715,1.099706744868035,493.46487
09/11/2021 at 11:46:09,69.0,42.55041311312135,1.099706744868035,491.6519
09/11/2021 at 11:46:14,74.0,41.99696813895343,1.099706744868035,502.46082
09/11/2021 at 11:46:18,78.0,41.75538325257977,1.099706744868035,507.83804
09/11/2021 at 11:46:22,82.0,41.63557643456453,1.099706744868035,511.39166
09/11/2021 at 11:46:25,85.0,41.51641722413324,1.099706744868035,513.89056
09/11/2021 at 11:46:29,89.0,41.397898657712915,1.099706744868035,516.0955
09/11/2021 at 11:46:32,92.0,41.28001388344668,1.099706744868035,518.3141
09/11/2021 at 11:46:35,95.0,41.22130705712722,1.099706744868035,520.80786
09/11/2021 at 11:46:39,99.0,41.104360362405565,1.099706744868035,522.75696
09/11/2021 at 11:46:42,102.0,41.04611884833093,1.099706744868035,524.3348
09/11/2021 at 11:46:45,105.0,40.98803080350943,1.099706744868035,525.8139
09/11/2021 at 11:46:48,109.0,40.93009542126816,1.099706744868035,527.388
09/11/2021 at 11:46:52,112.0,40.81467944948564,1.099706744868035,528.7856
09/11/2021 at 11:46:55,115.0,40.75719727805131,1.099706744868035,530.2463
09/11/2021 at 11:46:58,118.0,40.69986460528103,1.099706744868035,531.6688
09/11/2021 at 11:47:01,121.0,40.64268065556431,1.099706744868035,533.0269
09/11/2021 at 11:47:05,125.0,40.58564465931099,1.099706744868035,534.2269
09/11/2021 at 11:47:08,128.0,40.528755852889,1.099706744868035,535.443
09/11/2021 at 11:47:11,131.0,40.41541678443419,1.099706744868035,536.6273
09/11/2021 at 11:47:14,134.0,40.358965024379735,1.099706744868035,537.96545
09/11/2021 at 11:47:17,137.0,40.358965024379735,1.099706744868035,539.28284
09/11/2021 at 11:47:21,141.0,40.30265745799454,1.099706744868035,540.4528
09/11/2021 at 11:47:24,144.0,40.24649335053262,1.099706744868035,541.5494
09/11/2021 at 11:47:27,147.0,40.19047197284957,1.099706744868035,542.6595
09/11/2021 at 11:47:30,150.0,40.13459260134588,1.099706744868035,543.63885
