Absolute Time,Time Elapsed,Temperature,Vref,Average Output
,,,,
23/06/2021 at 15:07:13,0,40.07885452,1.256109482,356.73077
23/06/2021 at 15:07:16,2,40.07885452,1.256109482,357.0251
23/06/2021 at 15:07:18,5,40.07885452,1.256109482,357.4816
23/06/2021 at 15:07:21,8,40.02325701,1.256109482,357.74332
23/06/2021 at 15:07:24,11,40.02325701,1.256109482,357.9001
23/06/2021 at 15:07:27,14,40.02325701,1.256109482,358.1969
23/06/2021 at 15:07:38,25,39.9124809,1.256109482,430.75082
23/06/2021 at 15:07:41,28,40.02325701,1.256109482,432.04013
23/06/2021 at 15:07:44,31,40.02325701,1.256109482,432.38336
23/06/2021 at 15:07:57,43,39.85730089,1.256109482,353.96823
23/06/2021 at 15:08:00,46,40.07885452,1.256109482,355.72867
23/06/2021 at 15:08:02,49,40.07885452,1.256109482,356.25836
23/06/2021 at 15:08:06,52,39.69258481,1.256109482,353.77216
23/06/2021 at 15:08:09,56,39.15225383,1.256109482,361.37668
23/06/2021 at 15:08:13,59,38.83430023,1.256109482,367.14966
23/06/2021 at 15:08:16,63,38.57279776,1.256109482,371.34784
23/06/2021 at 15:08:19,66,38.36580656,1.256109482,375.0882
23/06/2021 at 15:08:22,69,38.1607409,1.256109482,378.50647
23/06/2021 at 15:08:25,72,38.00818388,1.256109482,381.17007
23/06/2021 at 15:08:28,75,37.85667538,1.256109482,383.43503
23/06/2021 at 15:08:31,78,37.75624514,1.256109482,385.5792
23/06/2021 at 15:08:35,81,37.60645249,1.256109482,387.73547
23/06/2021 at 15:08:37,84,37.50715322,1.256109482,389.514
23/06/2021 at 15:08:40,87,37.40829924,1.256109482,391.3527
23/06/2021 at 15:08:43,90,37.30988658,1.256109482,392.91895
23/06/2021 at 15:08:46,93,37.2119113,1.256109482,394.53488
23/06/2021 at 15:08:49,96,37.16308648,1.256109482,396.00043
23/06/2021 at 15:08:52,99,37.06576005,1.256109482,397.22147
23/06/2021 at 15:08:55,102,37.0172575,1.256109482,398.45465
23/06/2021 at 15:08:58,105,36.96886143,1.256109482,399.57
23/06/2021 at 15:09:01,108,36.92057138,1.256109482,400.74017
23/06/2021 at 15:09:04,110,36.87238688,1.256109482,401.8045
23/06/2021 at 15:09:07,113,36.82430747,1.256109482,402.77863
23/06/2021 at 15:09:09,116,36.77633269,1.256109482,403.59818
23/06/2021 at 15:09:12,119,36.7284621,1.256109482,404.269
23/06/2021 at 15:09:15,122,36.68069523,1.256109482,405.21637
23/06/2021 at 15:09:18,125,36.63303165,1.256109482,406.15372
23/06/2021 at 15:09:21,128,36.63303165,1.256109482,406.99207
23/06/2021 at 15:09:24,130,36.58547089,1.256109482,407.75647
23/06/2021 at 15:09:27,133,36.53801253,1.256109482,407.95782
23/06/2021 at 15:09:29,136,36.53801253,1.256109482,408.5092
23/06/2021 at 15:09:32,139,36.49065612,1.256109482,409.1554
23/06/2021 at 15:09:35,142,36.44340123,1.256109482,409.9198
23/06/2021 at 15:09:38,145,36.44340123,1.256109482,410.51462
23/06/2021 at 15:09:41,148,36.39624741,1.256109482,410.9645
