Absolute Time,Time Elapsed,Temperature,Vref,Average Output
,,,,
23/06/2021 at 16:26:56,0,39.96779937,3.367546432,441.7283
23/06/2021 at 16:26:59,3,39.96779937,3.367546432,441.63086
23/06/2021 at 16:27:02,5,39.9124809,3.367546432,441.95938
23/06/2021 at 16:27:05,8,39.9124809,3.367546432,442.17493
23/06/2021 at 16:27:08,11,39.9124809,3.367546432,442.3733
23/06/2021 at 16:27:11,14,39.9124809,3.367546432,442.55304
23/06/2021 at 16:27:25,28,39.63795182,3.367546432,516.8936
23/06/2021 at 16:27:28,31,40.02325701,3.367546432,518.5069
23/06/2021 at 16:27:31,34,40.02325701,3.367546432,519.63086
23/06/2021 at 16:27:45,49,39.63795182,3.367546432,441.07092
23/06/2021 at 16:27:49,52,40.07885452,3.367546432,440.87534
23/06/2021 at 16:27:52,55,40.02325701,3.367546432,441.31027
23/06/2021 at 16:27:56,59,39.36679956,3.367546432,431.7786
23/06/2021 at 16:28:01,64,38.78175098,3.367546432,441.6887
23/06/2021 at 16:28:05,68,38.41737244,3.367546432,448.8316
23/06/2021 at 16:28:08,71,38.21182875,3.367546432,453.3471
23/06/2021 at 16:28:11,74,38.00818388,3.367546432,457.1794
23/06/2021 at 16:28:15,78,37.90706261,3.367546432,460.2841
23/06/2021 at 16:28:18,81,37.75624514,3.367546432,463.01617
23/06/2021 at 16:28:21,84,37.65627036,3.367546432,465.3368
23/06/2021 at 16:28:24,87,37.55674694,3.367546432,467.4053
23/06/2021 at 16:28:27,90,37.50715322,3.367546432,469.40186
23/06/2021 at 16:28:30,93,37.40829924,3.367546432,471.32333
23/06/2021 at 16:28:33,96,37.35903799,3.367546432,473.0575
23/06/2021 at 16:28:36,99,37.26084451,3.367546432,474.7562
23/06/2021 at 16:28:39,102,37.2119113,3.367546432,476.3075
23/06/2021 at 16:28:42,106,37.16308648,3.367546432,477.9976
23/06/2021 at 16:28:45,109,37.11436955,3.367546432,479.52942
23/06/2021 at 16:28:49,112,37.06576005,3.367546432,481.02753
23/06/2021 at 16:28:52,115,37.0172575,3.367546432,482.54184
23/06/2021 at 16:28:54,118,36.96886143,3.367546432,484.07504
23/06/2021 at 16:28:57,121,36.92057138,3.367546432,485.59518
23/06/2021 at 16:29:01,124,36.87238688,3.367546432,487.05164
23/06/2021 at 16:29:04,127,36.82430747,3.367546432,488.45474
23/06/2021 at 16:29:07,130,36.77633269,3.367546432,489.92737
23/06/2021 at 16:29:10,133,36.7284621,3.367546432,491.3005
