Absolute Time,Time Elapsed,Temperature,Vref,Average Output

04/01/2018 at 10:22:24,0.0,44.914576509727496,3.2893450635386117,562.42065
04/01/2018 at 10:22:27,2.0,44.914576509727496,3.2893450635386117,561.87463
04/01/2018 at 10:22:30,5.0,44.914576509727496,3.2893450635386117,561.64435
04/01/2018 at 10:22:33,8.0,44.914576509727496,3.2893450635386117,561.5297
04/01/2018 at 10:22:36,11.0,44.914576509727496,3.2893450635386117,561.4557
04/01/2018 at 10:22:38,14.0,44.914576509727496,3.2893450635386117,561.4123
04/01/2018 at 10:22:49,24.0,44.845363265257966,3.2893450635386117,611.78326
04/01/2018 at 10:22:52,27.0,44.845363265257966,3.2893450635386117,612.0587
04/01/2018 at 10:22:55,30.0,44.845363265257966,3.2893450635386117,612.66724
04/01/2018 at 10:23:05,40.0,44.845363265257966,3.2893450635386117,562.2949
04/01/2018 at 10:23:08,43.0,44.845363265257966,3.2893450635386117,561.82355
04/01/2018 at 10:23:10,46.0,44.845363265257966,3.2893450635386117,561.71484
04/01/2018 at 10:23:15,50.0,44.366861372166674,3.2893450635386117,554.2421
04/01/2018 at 10:23:18,53.0,43.832425494224665,3.2893450635386117,558.7089
04/01/2018 at 10:23:21,56.0,43.56998905838621,3.2893450635386117,560.7444
04/01/2018 at 10:23:24,59.0,43.37519191229562,3.2893450635386117,562.0243
04/01/2018 at 10:23:27,62.0,43.24627692353202,3.2893450635386117,563.13165
04/01/2018 at 10:23:30,65.0,43.1181114447519,3.2893450635386117,564.06146
04/01/2018 at 10:23:33,68.0,42.99068681102715,3.2893450635386117,564.96216
04/01/2018 at 10:23:36,71.0,42.86399450682665,3.2893450635386117,565.7239
04/01/2018 at 10:23:39,74.0,42.80092035720288,3.2893450635386117,566.471
04/01/2018 at 10:23:41,77.0,42.67531089909399,3.2893450635386117,567.19867
04/01/2018 at 10:23:44,79.0,42.61277355146671,3.2893450635386117,567.8718
04/01/2018 at 10:23:47,82.0,42.55041311312135,3.2893450635386117,568.5651
04/01/2018 at 10:23:50,85.0,42.426218980379986,3.2893450635386117,569.20215
04/01/2018 at 10:23:53,88.0,42.364383314997916,3.2893450635386117,569.8406
04/01/2018 at 10:23:56,91.0,42.30272061673788,3.2893450635386117,570.4581
04/01/2018 at 10:23:59,94.0,42.24122992064895,3.2893450635386117,571.06946
04/01/2018 at 10:24:01,97.0,42.11876071535347,3.2893450635386117,571.66345
04/01/2018 at 10:24:04,99.0,42.11876071535347,3.2893450635386117,572.26465
04/01/2018 at 10:24:07,102.0,41.99696813895343,3.2893450635386117,572.82214
04/01/2018 at 10:24:10,105.0,41.93632325819038,3.2893450635386117,573.38934
04/01/2018 at 10:24:13,108.0,41.87584475591002,3.2893450635386117,573.9458
04/01/2018 at 10:24:16,111.0,41.815531721694896,3.2893450635386117,574.4602
04/01/2018 at 10:24:18,114.0,41.75538325257977,3.2893450635386117,574.9736
04/01/2018 at 10:24:21,116.0,41.695398452970615,3.2893450635386117,575.4637
04/01/2018 at 10:24:24,119.0,41.63557643456453,3.2893450635386117,575.9152
04/01/2018 at 10:24:27,122.0,41.57591631627085,3.2893450635386117,576.37616
04/01/2018 at 10:24:30,125.0,41.51641722413324,3.2893450635386117,576.8291
04/01/2018 at 10:24:33,128.0,41.45707829125295,3.2893450635386117,577.26227
04/01/2018 at 10:24:35,131.0,41.397898657712915,3.2893450635386117,577.68774
04/01/2018 at 10:24:38,133.0,41.33887747050311,3.2893450635386117,578.1344
04/01/2018 at 10:24:41,136.0,41.28001388344668,3.2893450635386117,578.57135
04/01/2018 at 10:24:44,139.0,41.22130705712722,3.2893450635386117,579.00104
04/01/2018 at 10:24:47,142.0,41.22130705712722,3.2893450635386117,579.4189
04/01/2018 at 10:24:50,145.0,41.16275615881688,3.2893450635386117,579.80896
04/01/2018 at 10:24:52,148.0,41.104360362405565,3.2893450635386117,580.22437
04/01/2018 at 10:24:55,150.0,41.04611884833093,3.2893450635386117,580.6377
04/01/2018 at 10:24:58,153.0,41.04611884833093,3.2893450635386117,581.058
04/01/2018 at 10:25:01,156.0,40.98803080350943,3.2893450635386117,581.4328
04/01/2018 at 10:25:04,159.0,40.93009542126816,3.2893450635386117,581.81836
04/01/2018 at 10:25:06,162.0,40.87231190127768,3.2893450635386117,582.1962
04/01/2018 at 10:25:09,164.0,40.87231190127768,3.2893450635386117,582.5721
04/01/2018 at 10:25:12,167.0,40.81467944948564,3.2893450635386117,582.94336
04/01/2018 at 10:25:15,170.0,40.75719727805131,3.2893450635386117,583.3272
04/01/2018 at 10:25:18,173.0,40.75719727805131,3.2893450635386117,583.7176
04/01/2018 at 10:25:21,176.0,40.69986460528103,3.2893450635386117,584.09485
04/01/2018 at 10:25:23,178.0,40.64268065556431,3.2893450635386117,584.47205
04/01/2018 at 10:25:26,181.0,40.64268065556431,3.2893450635386117,584.8447
04/01/2018 at 10:25:29,184.0,40.58564465931099,3.2893450635386117,585.2216
04/01/2018 at 10:25:32,187.0,40.58564465931099,3.2893450635386117,585.6044
