Absolute Time,Time Elapsed,Temperature,Vref,Average Output

21/03/2021 at 14:45:54,0.0,41.99696813895343,4.384164222873901,636.1815
21/03/2021 at 14:45:58,3.0,42.55041311312135,4.384164222873901,636.9007
21/03/2021 at 14:46:01,6.0,42.55041311312135,4.384164222873901,637.3474
21/03/2021 at 14:46:03,8.0,42.55041311312135,4.384164222873901,637.33905
21/03/2021 at 14:46:06,11.0,42.55041311312135,4.384164222873901,637.3395
21/03/2021 at 14:46:09,14.0,42.48822858597814,4.384164222873901,637.2764
21/03/2021 at 14:46:36,41.0,41.87584475591002,4.384164222873901,450.38174
21/03/2021 at 14:46:39,44.0,42.48822858597814,4.384164222873901,446.4252
21/03/2021 at 14:46:42,47.0,42.48822858597814,4.384164222873901,446.4667
21/03/2021 at 14:47:03,68.0,41.87584475591002,4.384164222873901,585.8436
21/03/2021 at 14:47:12,77.0,42.11876071535347,4.384164222873901,634.4284
21/03/2021 at 14:47:15,81.0,42.48822858597814,4.384164222873901,636.77783
21/03/2021 at 14:47:19,84.0,41.93632325819038,4.384164222873901,631.0467
21/03/2021 at 14:47:23,88.0,41.397898657712915,4.384164222873901,632.0064
21/03/2021 at 14:47:26,91.0,41.04611884833093,4.384164222873901,630.61505
21/03/2021 at 14:47:29,94.0,40.81467944948564,4.384164222873901,629.3199
21/03/2021 at 14:47:32,97.0,40.64268065556431,4.384164222873901,628.3909
21/03/2021 at 14:47:35,100.0,40.472013478563085,4.384164222873901,627.6167
21/03/2021 at 14:47:38,103.0,40.30265745799454,4.384164222873901,626.99524
21/03/2021 at 14:47:41,106.0,40.19047197284957,4.384164222873901,626.51733
21/03/2021 at 14:47:44,109.0,40.078854517910756,4.384164222873901,626.0897
21/03/2021 at 14:47:47,112.0,39.96779936991534,4.384164222873901,625.6713
21/03/2021 at 14:47:49,115.0,39.857300891665396,4.384164222873901,625.33185
21/03/2021 at 14:47:52,118.0,39.802258665180545,4.384164222873901,624.9597
21/03/2021 at 14:47:55,120.0,39.69258480585453,4.384164222873901,624.50616
21/03/2021 at 14:47:58,123.0,39.63795181567482,4.384164222873901,624.0419
21/03/2021 at 14:48:01,126.0,39.52909035862105,4.384164222873901,623.62946
21/03/2021 at 14:48:04,129.0,39.474860564348994,4.384164222873901,623.1743
21/03/2021 at 14:48:07,132.0,39.420763849460435,4.384164222873901,622.69165
21/03/2021 at 14:48:10,135.0,39.366799562402925,4.384164222873901,622.154
21/03/2021 at 14:48:12,138.0,39.31296705639732,4.384164222873901,621.70685
21/03/2021 at 14:48:15,140.0,39.31296705639732,4.384164222873901,621.12726
21/03/2021 at 14:48:18,143.0,39.25926568939127,4.384164222873901,620.5704
21/03/2021 at 14:48:21,146.0,39.20569482401323,4.384164222873901,619.8724
21/03/2021 at 14:48:24,149.0,39.1522538275271,4.384164222873901,619.2042
21/03/2021 at 14:48:27,152.0,39.1522538275271,4.384164222873901,618.7188
21/03/2021 at 14:48:30,155.0,39.09894207178738,4.384164222873901,618.23376
21/03/2021 at 14:48:32,158.0,39.045758933194875,4.384164222873901,617.66614
21/03/2021 at 14:48:35,160.0,39.045758933194875,4.384164222873901,617.14
21/03/2021 at 14:48:38,163.0,38.9927037926529,4.384164222873901,616.562
21/03/2021 at 14:48:41,166.0,38.9927037926529,4.384164222873901,615.6418
21/03/2021 at 14:48:44,169.0,38.9927037926529,4.384164222873901,614.2226
21/03/2021 at 14:48:47,172.0,38.93977603552408,4.384164222873901,612.6789
21/03/2021 at 14:48:50,175.0,38.93977603552408,4.384164222873901,610.80414
21/03/2021 at 14:48:53,178.0,38.93977603552408,4.384164222873901,608.67334
21/03/2021 at 14:48:56,181.0,38.88697505158759,4.384164222873901,606.17554
21/03/2021 at 14:48:59,185.0,38.88697505158759,4.384164222873901,603.2601
21/03/2021 at 14:49:03,188.0,38.88697505158759,4.384164222873901,599.71716
21/03/2021 at 14:49:06,191.0,38.83430023499695,4.384164222873901,595.3889
21/03/2021 at 14:49:09,195.0,38.83430023499695,4.384164222873901,590.16833
21/03/2021 at 14:49:13,198.0,38.78175098423836,4.384164222873901,584.2461
21/03/2021 at 14:49:17,202.0,38.78175098423836,4.384164222873901,577.8963
21/03/2021 at 14:49:20,205.0,38.72932670208938,4.384164222873901,572.0335
21/03/2021 at 14:49:24,209.0,38.72932670208938,4.384164222873901,566.79376
21/03/2021 at 14:49:27,212.0,38.67702679557834,4.384164222873901,563.2014
21/03/2021 at 14:49:30,215.0,38.57279775859576,4.384164222873901,561.2692
21/03/2021 at 14:49:33,218.0,38.57279775859576,4.384164222873901,559.629
21/03/2021 at 14:49:36,221.0,38.52086746307452,4.384164222873901,558.5505
21/03/2021 at 14:49:39,224.0,38.46905921301362,4.384164222873901,557.8556
21/03/2021 at 14:49:41,227.0,38.46905921301362,4.384164222873901,557.16315
21/03/2021 at 14:49:44,229.0,38.46905921301362,4.384164222873901,556.5927
21/03/2021 at 14:49:48,233.0,38.62485067594398,4.384164222873901,560.7499
21/03/2021 at 14:49:53,238.0,38.93977603552408,4.384164222873901,575.17633
21/03/2021 at 14:49:56,242.0,38.9927037926529,4.384164222873901,582.55725
21/03/2021 at 14:50:00,245.0,38.9927037926529,4.384164222873901,586.36816
21/03/2021 at 14:50:03,248.0,38.9927037926529,4.384164222873901,589.4276
21/03/2021 at 14:50:06,251.0,38.9927037926529,4.384164222873901,591.5297
21/03/2021 at 14:50:09,254.0,38.9927037926529,4.384164222873901,592.9721
21/03/2021 at 14:50:12,257.0,38.9927037926529,4.384164222873901,593.98083
21/03/2021 at 14:50:15,260.0,38.9927037926529,4.384164222873901,594.6139
21/03/2021 at 14:50:18,263.0,38.9927037926529,4.384164222873901,594.9481
21/03/2021 at 14:50:20,265.0,38.9927037926529,4.384164222873901,595.12085
21/03/2021 at 14:50:23,268.0,38.9927037926529,4.384164222873901,595.14996
21/03/2021 at 14:50:26,271.0,38.9927037926529,4.384164222873901,595.0742
21/03/2021 at 14:50:29,274.0,38.9927037926529,4.384164222873901,594.9174
21/03/2021 at 14:50:31,277.0,38.9927037926529,4.384164222873901,594.58276
21/03/2021 at 14:50:34,279.0,39.045758933194875,4.384164222873901,594.01715
21/03/2021 at 14:50:37,282.0,39.045758933194875,4.384164222873901,593.01434
21/03/2021 at 14:50:40,285.0,39.09894207178738,4.384164222873901,591.422
21/03/2021 at 14:50:43,288.0,39.09894207178738,4.384164222873901,589.40845
