Absolute Time,Time Elapsed,Temperature,Vref,Average Output

21/03/2021 at 13:40:43,0.0,41.695398452970615,-1.2072336265884651,402.2955
21/03/2021 at 13:40:46,3.0,41.75538325257977,-1.2072336265884651,400.8585
21/03/2021 at 13:40:49,6.0,41.75538325257977,-1.2072336265884651,399.96268
21/03/2021 at 13:40:52,9.0,41.75538325257977,-1.2072336265884651,399.21027
21/03/2021 at 13:40:55,11.0,41.75538325257977,-1.2072336265884651,398.47684
21/03/2021 at 13:40:58,14.0,41.75538325257977,-1.2072336265884651,397.81027
21/03/2021 at 13:41:05,22.0,41.33887747050311,-1.2072336265884651,423.87247
21/03/2021 at 13:41:09,25.0,41.75538325257977,-1.2072336265884651,424.40808
21/03/2021 at 13:41:12,28.0,41.75538325257977,-1.2072336265884651,424.079
21/03/2021 at 13:41:20,36.0,41.33887747050311,-1.2072336265884651,394.2028
21/03/2021 at 13:41:23,39.0,41.75538325257977,-1.2072336265884651,393.34402
21/03/2021 at 13:41:26,42.0,41.75538325257977,-1.2072336265884651,392.721
21/03/2021 at 13:41:29,46.0,41.28001388344668,-1.2072336265884651,395.8146
21/03/2021 at 13:41:33,50.0,40.41541678443419,-1.2072336265884651,403.9465
21/03/2021 at 13:41:37,53.0,40.19047197284957,-1.2072336265884651,406.25598
21/03/2021 at 13:41:40,57.0,39.96779936991534,-1.2072336265884651,406.56424
21/03/2021 at 13:41:44,60.0,39.802258665180545,-1.2072336265884651,405.80652
21/03/2021 at 13:41:47,64.0,39.63795181567482,-1.2072336265884651,404.6653
21/03/2021 at 13:41:50,67.0,39.52909035862105,-1.2072336265884651,403.30203
21/03/2021 at 13:41:54,70.0,39.420763849460435,-1.2072336265884651,401.6846
21/03/2021 at 13:41:57,74.0,39.31296705639732,-1.2072336265884651,399.88492
21/03/2021 at 13:42:01,77.0,39.25926568939127,-1.2072336265884651,398.06345
21/03/2021 at 13:42:04,81.0,39.1522538275271,-1.2072336265884651,395.8622
21/03/2021 at 13:42:07,84.0,39.09894207178738,-1.2072336265884651,393.7151
21/03/2021 at 13:42:11,87.0,39.045758933194875,-1.2072336265884651,391.5126
21/03/2021 at 13:42:14,91.0,38.93977603552408,-1.2072336265884651,389.50607
21/03/2021 at 13:42:18,94.0,38.93977603552408,-1.2072336265884651,387.3493
21/03/2021 at 13:42:21,98.0,38.83430023499695,-1.2072336265884651,384.95364
21/03/2021 at 13:42:25,101.0,38.78175098423836,-1.2072336265884651,382.78693
21/03/2021 at 13:42:28,104.0,38.72932670208938,-1.2072336265884651,380.84262
21/03/2021 at 13:42:31,108.0,38.67702679557834,-1.2072336265884651,378.86874
21/03/2021 at 13:42:35,111.0,38.67702679557834,-1.2072336265884651,376.73282
21/03/2021 at 13:42:38,114.0,38.62485067594398,-1.2072336265884651,374.75708
21/03/2021 at 13:42:41,118.0,38.57279775859576,-1.2072336265884651,372.82956
21/03/2021 at 13:42:44,121.0,38.52086746307452,-1.2072336265884651,371.01804
21/03/2021 at 13:42:48,124.0,38.46905921301362,-1.2072336265884651,369.11227
21/03/2021 at 13:42:51,127.0,38.41737243610064,-1.2072336265884651,367.11633
21/03/2021 at 13:42:54,131.0,38.41737243610064,-1.2072336265884651,365.22208
21/03/2021 at 13:42:57,134.0,38.365806564039374,-1.2072336265884651,363.39502
21/03/2021 at 13:43:01,137.0,38.31436103251234,-1.2072336265884651,361.51974
21/03/2021 at 13:43:04,141.0,38.26303528114378,-1.2072336265884651,359.62552
21/03/2021 at 13:43:07,144.0,38.211828753462974,-1.2072336265884651,357.94992
21/03/2021 at 13:43:10,147.0,38.211828753462974,-1.2072336265884651,356.20123
21/03/2021 at 13:43:14,150.0,38.160740896868084,-1.2072336265884651,354.41867
21/03/2021 at 13:43:17,153.0,38.109771162590334,-1.2072336265884651,352.8812
21/03/2021 at 13:43:20,157.0,38.058919005658694,-1.2072336265884651,351.32098
21/03/2021 at 13:43:23,160.0,38.058919005658694,-1.2072336265884651,349.70358
21/03/2021 at 13:43:26,163.0,38.008183884864856,-1.2072336265884651,348.02863
21/03/2021 at 13:43:30,166.0,38.008183884864856,-1.2072336265884651,346.39658
21/03/2021 at 13:43:33,169.0,37.95756526272872,-1.2072336265884651,344.7916
21/03/2021 at 13:43:36,172.0,37.907062605464205,-1.2072336265884651,343.27713
21/03/2021 at 13:43:39,176.0,37.907062605464205,-1.2072336265884651,341.7636
21/03/2021 at 13:43:42,179.0,37.85667538294551,-1.2072336265884651,340.32132
21/03/2021 at 13:43:45,182.0,37.80640306867365,-1.2072336265884651,338.8507
21/03/2021 at 13:43:49,185.0,37.80640306867365,-1.2072336265884651,337.39874
21/03/2021 at 13:43:52,188.0,37.75624513974355,-1.2072336265884651,336.00592
21/03/2021 at 13:43:55,191.0,37.70620107681131,-1.2072336265884651,334.66095
21/03/2021 at 13:43:58,194.0,37.70620107681131,-1.2072336265884651,333.29984
21/03/2021 at 13:44:01,198.0,37.65627036406202,-1.2072336265884651,331.99628
21/03/2021 at 13:44:04,201.0,37.606452489177805,-1.2072336265884651,330.75024
21/03/2021 at 13:44:07,204.0,37.606452489177805,-1.2072336265884651,329.54184
21/03/2021 at 13:44:11,207.0,37.80640306867365,-1.2072336265884651,326.92038
21/03/2021 at 13:44:14,211.0,38.058919005658694,-1.2072336265884651,322.2308
21/03/2021 at 13:44:17,214.0,38.109771162590334,-1.2072336265884651,319.36484
21/03/2021 at 13:44:21,217.0,38.109771162590334,-1.2072336265884651,317.57233
