Absolute Time,Time Elapsed,Temperature,Vref,Average Output

11/02/2022 at 14:36:11,0.0,43.439933222424955,1.5689149560117297,572.6009
11/02/2022 at 14:36:16,4.0,43.56998905838621,1.5689149560117297,562.363
11/02/2022 at 14:36:19,7.0,43.56998905838621,1.5689149560117297,561.6108
11/02/2022 at 14:36:21,10.0,43.56998905838621,1.5689149560117297,561.3438
11/02/2022 at 14:36:24,13.0,43.56998905838621,1.5689149560117297,561.1424
11/02/2022 at 14:36:27,16.0,43.56998905838621,1.5689149560117297,561.0099
11/02/2022 at 14:36:42,30.0,43.56998905838621,1.5689149560117297,633.3213
11/02/2022 at 14:36:46,34.0,43.56998905838621,1.5689149560117297,636.8801
11/02/2022 at 14:36:49,37.0,43.56998905838621,1.5689149560117297,635.99475
11/02/2022 at 14:37:03,51.0,43.56998905838621,1.5689149560117297,567.0859
11/02/2022 at 14:37:06,55.0,43.56998905838621,1.5689149560117297,562.00555
11/02/2022 at 14:37:09,58.0,43.56998905838621,1.5689149560117297,561.44824
11/02/2022 at 14:37:13,61.0,43.05430705793929,1.5689149560117297,557.6228
11/02/2022 at 14:37:17,65.0,42.55041311312135,1.5689149560117297,563.4877
11/02/2022 at 14:37:20,69.0,42.30272061673788,1.5689149560117297,566.26495
11/02/2022 at 14:37:24,72.0,42.11876071535347,1.5689149560117297,568.12384
11/02/2022 at 14:37:27,75.0,41.99696813895343,1.5689149560117297,569.6785
11/02/2022 at 14:37:30,78.0,41.87584475591002,1.5689149560117297,571.3675
11/02/2022 at 14:37:33,81.0,41.75538325257977,1.5689149560117297,573.1155
11/02/2022 at 14:37:36,85.0,41.63557643456453,1.5689149560117297,574.76
11/02/2022 at 14:37:39,88.0,41.51641722413324,1.5689149560117297,576.30206
11/02/2022 at 14:37:42,91.0,41.397898657712915,1.5689149560117297,577.59204
11/02/2022 at 14:37:45,94.0,41.33887747050311,1.5689149560117297,579.13745
11/02/2022 at 14:37:49,97.0,41.22130705712722,1.5689149560117297,580.92834
11/02/2022 at 14:37:52,100.0,41.16275615881688,1.5689149560117297,582.60944
11/02/2022 at 14:37:55,103.0,41.04611884833093,1.5689149560117297,584.49274
11/02/2022 at 14:37:58,106.0,40.98803080350943,1.5689149560117297,585.8759
11/02/2022 at 14:38:01,110.0,40.87231190127768,1.5689149560117297,587.3306
11/02/2022 at 14:38:04,113.0,40.81467944948564,1.5689149560117297,588.9972
11/02/2022 at 14:38:07,116.0,40.75719727805131,1.5689149560117297,590.66016
11/02/2022 at 14:38:11,119.0,40.69986460528103,1.5689149560117297,592.03705
11/02/2022 at 14:38:14,122.0,40.64268065556431,1.5689149560117297,593.34375
11/02/2022 at 14:38:17,125.0,40.58564465931099,1.5689149560117297,594.69794
11/02/2022 at 14:38:20,128.0,40.528755852889,1.5689149560117297,595.9386
11/02/2022 at 14:38:23,131.0,40.472013478563085,1.5689149560117297,597.1012
11/02/2022 at 14:38:26,134.0,40.41541678443419,1.5689149560117297,598.3777
11/02/2022 at 14:38:29,138.0,40.358965024379735,1.5689149560117297,599.6751
11/02/2022 at 14:38:32,141.0,40.30265745799454,1.5689149560117297,600.5906
